Time,Open,High,Low,Last,Change,Volume,"Open Int"
07/12/2010,140.3,140.3,138.35,138.35,0.84999999999999,0,0
07/09/2010,138.85,139.5,137.5,137.5,-0.65000000000001,28,356
07/08/2010,142,142.5,138.15,138.15,-7.6,24,333
07/07/2010,146.5,146.5,145.05,145.75,-1.6,60,323
07/06/2010,151.5,151.95,146,147.35,-3.85,41,309
07/02/2010,149.65,151.2,149.65,151.2,1.55,49,477
07/01/2010,148.15,149.65,148.1,149.65,1.4,97,495
06/30/2010,143.6,148.5,143.5,148.25,4.75,183,1163
06/29/2010,142.7,144.5,141.1,143.5,1,140,1303
06/28/2010,143.3,143.9,141.05,142.5,-0.40000000000001,357,1375
06/25/2010,141.1,144.9,141,142.9,1.3,689,1606
06/24/2010,140.75,142,139.75,141.6,0.84999999999999,727,2036
06/23/2010,139.95,142.1,139.75,140.75,0.80000000000001,1055,2599
06/22/2010,139.75,142.85,139.75,139.95,-0.55000000000001,1299,3559
06/21/2010,143.1,143.5,139.5,140.5,-2,1488,4631
06/18/2010,142.15,144.95,142.1,142.5,0.25,1354,5551
06/17/2010,142.7,143.8,142.1,142.25,-0.44999999999999,1754,6768
06/16/2010,143.15,143.5,141.5,142.7,-0.45000000000002,878,8128
06/15/2010,143.6,143.8,142,143.15,-0.5,1321,8699
06/14/2010,142.4,145.1,141.75,143.65,2,2212,9572
06/11/2010,140.9,143.35,140.25,141.65,1.4,1789,10338
06/10/2010,137.9,141,136.9,140.25,2.4,1948,10953
06/09/2010,138.3,138.7,137.6,137.85,-0.45000000000002,1486,11746
06/08/2010,135.45,139.95,135.45,138.3,1.55,2043,12717
06/07/2010,136.2,138.2,133.5,136.75,0.55000000000001,1841,13820
06/04/2010,138.85,138.95,135.9,136.2,-3.25,1329,14247
06/03/2010,139.55,140.6,138.55,139.45,-0.10000000000002,979,14650
06/02/2010,139.5,141,138.05,139.55,0.60000000000002,1347,15283
06/01/2010,142,142,136.75,138.95,-3.95,2598,16563
05/28/2010,142.2,144.2,142,142.9,1.7,1281,17343
05/27/2010,140,142,139.25,141.2,1.6,983,17869
05/26/2010,140.1,140.9,138.15,139.6,0.19999999999999,1649,18256
05/25/2010,143.5,143.5,137.85,139.4,-5.5,2215,19063
05/24/2010,146.05,146.05,141.8,144.9,-1.8,1443,19975
05/21/2010,145.25,147,144.6,146.7,1.45,943,19844
05/20/2010,146.15,147,144.1,145.25,-1.05,788,20107
05/19/2010,144.5,147.4,143.6,146.3,1.8,1495,20091
05/18/2010,143.2,144.95,142.25,144.5,1.65,794,20220
05/17/2010,142.2,144.05,141.8,142.85,0.25,631,19802
05/14/2010,142.45,145,141.45,142.6,-0.34999999999999,1968,19735
05/13/2010,140.95,143.35,140.95,142.95,2,776,19258
05/12/2010,142.2,142.5,140.35,140.95,-0.90000000000001,1136,19156
05/11/2010,137.75,142.15,137.75,141.85,3.8,1805,18948
05/10/2010,136.85,140.9,136.85,138.05,2.05,2403,18674
05/07/2010,135,137.45,135,136,0.90000000000001,1137,18958
05/06/2010,136.5,136.5,135.1,135.1,-1.4,841,19189
05/05/2010,137.55,137.7,135,136.5,-0.94999999999999,1010,19094
05/04/2010,137.25,138.45,137,137.45,0.049999999999983,834,19077
05/03/2010,138.4,138.45,136,137.4,-0.34999999999999,839,19049
04/30/2010,137,138.45,136.5,137.75,0.80000000000001,1415,19069
04/29/2010,137.8,138.45,136.2,136.95,0,1317,18530
04/28/2010,136.4,139,135.8,136.95,0.54999999999998,1063,18531
04/27/2010,137,137,135.1,136.4,-0.54999999999998,573,18567
04/26/2010,136.9,137.25,136,136.95,0,921,18554
04/23/2010,136.35,137.25,133.5,136.95,1,2020,18383
04/22/2010,139.3,139.35,134.5,135.95,-3,2042,18440
04/21/2010,138.05,139.25,137.6,138.95,0.89999999999998,1401,18295
04/20/2010,135.35,138.75,134.85,138.05,2.55,1858,17967
04/19/2010,132.6,136,132.55,135.5,2.85,1900,17666
04/16/2010,133.25,134.4,132.1,132.65,-0.79999999999998,1363,17123
04/15/2010,133.4,134,132.9,133.45,0.25,891,16583
04/14/2010,133,134.25,132.7,133.2,0.5,2242,16136
04/13/2010,132,135,132,132.7,0.34999999999999,1316,14530
04/12/2010,132,132.45,131.5,132.35,0.5,2000,13596
04/09/2010,129.1,132,129,131.85,3.2,891,12016
04/08/2010,132.25,134,128.4,128.65,-4.1,1903,11659
04/07/2010,135.95,135.95,132.1,132.75,-3.15,1971,10861
04/06/2010,139,139,131.65,135.9,-2.35,766,9725
04/05/2010,137.65,139,137.65,138.25,0.25,832,9511
04/01/2010,138.25,138.25,137.2,138,0.050000000000011,833,9205
03/31/2010,137.95,138.15,137.5,137.95,-0.050000000000011,688,8332
03/30/2010,139,139,137.5,138,0.40000000000001,643,8027
03/29/2010,138.5,140.25,136.9,137.6,-1.2,380,7572
03/26/2010,143,143.5,138.4,138.8,-4.7,816,7573
03/25/2010,144,145,143.15,143.5,-1.05,46,7399
03/24/2010,143,144.95,141,144.55,-0.44999999999999,288,7374
03/23/2010,147.05,147.6,144,145,-2.05,363,7364
03/22/2010,146.95,148,145.55,147.05,-0.89999999999998,192,7346
03/19/2010,146.45,149.1,145.95,147.95,1.45,242,7339
03/18/2010,149.5,150.25,144.4,146.5,-4.4,462,7288
03/17/2010,152.25,152.3,149.65,150.9,-1.8,227,7119
03/16/2010,152.2,152.8,152,152.7,-1.3,106,6974
03/15/2010,153.9,154,150,154,-0.099999999999994,611,6988
03/12/2010,153.5,154.8,153,154.1,1.85,314,6660
03/11/2010,150,153,150,152.25,2.85,114,6523
03/10/2010,149,149.55,148,149.4,-0.25,171,6443
03/09/2010,150.65,150.65,148.8,149.65,-2.2,191,6415
03/08/2010,155,155.5,149,151.85,-0.25,291,6482
03/05/2010,151.5,152.1,151.45,152.1,0.25,23,6475
03/04/2010,152,152.5,150.75,151.85,0.79999999999998,557,6465
03/03/2010,151.6,153.15,150.8,151.05,-0.59999999999999,1163,6208
03/02/2010,151.35,151.65,150.75,151.65,0.90000000000001,46,5119
03/01/2010,147.5,151.5,147.5,150.75,4.55,402,5104
02/26/2010,144,146.25,143.5,146.2,1.95,153,4901
02/25/2010,144,145,144,144.25,0.40000000000001,66,4818
02/24/2010,145.1,146.75,143.6,143.85,-0.84999999999999,70,4774
02/23/2010,142.55,145.05,141.9,144.7,1.8,194,4726
02/22/2010,143.6,144.45,142.75,142.9,-0.099999999999994,102,4561
02/19/2010,144.95,144.95,142.75,143,-1.95,102,4535
02/18/2010,144.9,145.75,143.5,144.95,0.29999999999998,68,4523
02/17/2010,144.8,145.5,144.2,144.65,-0.44999999999999,228,4484
02/16/2010,144.4,145.95,143.5,145.1,2.95,65,4518
02/12/2010,141.8,142.45,141.5,142.15,1,83,4506
02/11/2010,144,144,140.5,141.15,-2.5,83,4519
02/10/2010,144.5,146.25,143.05,143.65,-0.65000000000001,30,4505
02/09/2010,140,149,140,144.3,3.2,135,4506
02/08/2010,141.5,144.2,140.8,141.1,0.19999999999999,322,4482
02/05/2010,144.3,145.35,140.5,140.9,-3.15,480,4402
02/04/2010,146.95,146.95,143.9,144.05,-2.45,574,4303
02/03/2010,145.75,147,144.85,146.5,0.84999999999999,294,4173
02/02/2010,144,147.75,144,145.65,1.8,335,3993
02/01/2010,141.4,144.3,141.4,143.85,1.4,93,3764
01/29/2010,149.8,149.8,142.45,142.45,-6.9,25,3777
01/28/2010,152.8,152.9,148.5,149.35,-2.75,40,3777
01/27/2010,149.75,152.3,149.75,152.1,3.15,105,3759
01/26/2010,148.5,150.1,148.5,148.95,0.69999999999999,70,3756
01/25/2010,145.5,149.15,145,148.25,3.4,69,3701
01/22/2010,144.3,145,143.75,144.85,1.8,53,3679
01/21/2010,144,146.55,142.25,143.05,0.85000000000002,443,3644
01/20/2010,140.3,142.85,140.3,142.2,2.1,286,3331
01/19/2010,137.75,140.4,136.55,140.1,1.6,80,3179
01/15/2010,140,141,136.65,138.5,-1.4,52,3159
01/14/2010,141.6,143.1,139.1,139.9,0.25,741,3128
01/13/2010,144.5,144.5,139.25,139.65,-3.65,67,2509
01/12/2010,140.25,145,140.25,143.3,4.55,69,2504
01/11/2010,146,152,137.05,138.75,-18.3,334,2459
01/08/2010,152,157.45,152,157.05,9.6,336,2285
01/07/2010,147.15,150.25,144.6,147.45,-0.85000000000002,76,2095
01/06/2010,153,155.3,147.85,148.3,-1.35,128,2044
01/05/2010,143.7,150.25,143.25,149.65,9.4,187,1963
01/04/2010,140,145.75,139.25,140.25,4.5,115,1880
12/31/2009,141.65,141.7,135.25,135.75,-7.7,54,1813
12/30/2009,145.3,145.3,142.5,143.45,-3.25,24,1816
12/29/2009,145.75,147,145.75,146.7,2.75,39,1810
12/28/2009,143,144,142.75,143.95,3.3,102,1807
12/24/2009,140.65,140.65,140.65,140.65,-0.34999999999999,2,1711
12/23/2009,140.25,141,140.25,141,-0.69999999999999,2,1710
12/22/2009,139,141.7,139,141.7,-2.55,2,1709
12/21/2009,141,146,141,144.25,3.45,37,1708
12/18/2009,140,141,139,140.8,2.5,57,1712
12/17/2009,138.85,138.85,138,138.3,-1.65,26,1682
12/16/2009,141,141,139.5,139.95,-1.8,26,1682
12/15/2009,143,143.75,141.3,141.75,-1.85,65,1668
12/14/2009,141.75,143.6,141.55,143.6,6.25,209,1624
12/11/2009,135.7,137.35,135.7,137.35,0.59999999999999,5,1574
12/10/2009,135.7,136.75,135,136.75,0.15000000000001,56,1569
12/09/2009,135,137,135,136.6,1.6,325,1524
12/08/2009,134.8,135,134.65,135,-1,8,1218
12/07/2009,132.5,136.25,132.5,136,2.8,75,1210
12/04/2009,132.5,134,132.5,133.2,0.099999999999994,98,1171
12/03/2009,131.75,133.55,131.75,133.1,2,48,1088
12/02/2009,130.1,132,130.1,131.1,0.94999999999999,51,1044
12/01/2009,130,130.15,130,130.15,0.95000000000002,45,996
11/30/2009,127,129.2,127,129.2,1.5,36,961
11/27/2009,122.95,130.6,122.95,127.7,3.5,18,929
11/25/2009,124.15,124.3,123.6,124.2,2.3,103,919
11/24/2009,121.8,121.9,121.8,121.9,0.55000000000001,7,839
11/23/2009,121.35,121.35,121.35,121.35,-0.95,2,833
11/20/2009,122.3,122.3,122.3,122.3,-1.35,0,832
11/19/2009,123,123.8,123,123.65,1,14,832
11/18/2009,121.75,122.65,121.75,122.65,0.5,4,820
11/17/2009,122.5,122.5,122.1,122.15,-0.94999999999999,45,816
11/16/2009,123.75,123.75,123.1,123.1,-2.8,46,772
11/13/2009,127.45,128,125.9,125.9,-0.84999999999999,51,730
11/12/2009,125,127,125,126.75,1.15,34,732
11/11/2009,125,125.6,125,125.6,0.55,19,704
11/10/2009,124,126.1,124,125.05,-0.85000000000001,17,687
11/09/2009,125.9,125.9,125.9,125.9,0.30000000000001,0,671
11/06/2009,125.65,125.65,125.6,125.6,0.55,1,671
11/05/2009,125.2,125.2,124.35,125.05,0.45,9,671
11/04/2009,124.6,124.6,124.6,124.6,3,0,663
11/03/2009,121.9,121.9,121.5,121.6,0.5,6,663
11/02/2009,123,123,121,121.1,-4.15,29,663
10/30/2009,125.25,125.25,125.25,125.25,-1.7,7,642
10/29/2009,126.95,126.95,126.95,126.95,1.25,50,698
10/28/2009,126.4,126.4,125.05,125.7,-1.2,57,594
10/27/2009,127.65,127.65,126.9,126.9,2.05,4,546
10/26/2009,124,124.85,123.4,124.85,0.75,25,543
10/23/2009,126,126,124,124.1,-3.1,71,518
10/22/2009,129.15,129.15,127.2,127.2,-2.75,12,453
10/21/2009,130,130.25,129.95,129.95,1,15,441
10/20/2009,128.95,128.95,128.95,128.95,1.15,0,433
10/19/2009,127.8,127.8,127.8,127.8,0.55,0,433
10/16/2009,128.15,128.2,126.8,127.25,1.75,8,433
10/15/2009,123.9,125.5,123.9,125.5,0.65000000000001,2,431
10/14/2009,124.85,124.85,124.85,124.85,-0.30000000000001,0,132
10/13/2009,125.15,125.15,125.15,125.15,0.35000000000001,0,132
10/12/2009,124.8,124.8,124.8,124.8,3.4,0,132
10/09/2009,121.5,121.5,121.4,121.4,9.7,10,132
10/08/2009,111.7,111.7,111.7,111.7,4.25,0,122
10/07/2009,107.45,107.45,107.45,107.45,0.2,0,122
10/06/2009,107.25,107.25,107.25,107.25,0.15000000000001,0,122
10/05/2009,107.1,107.1,107.1,107.1,1.15,0,122
10/02/2009,105.95,105.95,105.95,105.95,0.10000000000001,0,122
10/01/2009,106,106,105.85,105.85,0.8,2,122
09/30/2009,105,105.05,105,105.05,-0.15000000000001,1,122
09/29/2009,105.2,105.2,105.2,105.2,0.75,3,121
09/28/2009,104.45,104.45,104.45,104.45,-0.099999999999994,0,118
09/25/2009,104.55,104.55,104.55,104.55,-1.1,0,118
09/24/2009,105.55,105.65,105.55,105.65,-4.55,27,118
09/23/2009,110.2,110.2,110.2,110.2,-1.75,0,91
09/22/2009,111.95,111.95,111.95,111.95,-0.25,0,91
09/21/2009,112.2,112.2,112.1,112.2,-3.5,5,91
09/18/2009,116.6,116.6,115.7,115.7,0.75,1,86
09/17/2009,115.4,115.4,114.95,114.95,3.6,1,86
09/16/2009,111.35,111.35,111.35,111.35,3.65,0,85
09/15/2009,107.7,107.7,107.7,107.7,5.1,0,85
09/14/2009,102.6,102.6,102.6,102.6,0.19999999999999,0,85
09/11/2009,102.4,102.4,102.4,102.4,-0.099999999999994,0,85
09/10/2009,102.5,102.5,102.5,102.5,-1,0,85
09/09/2009,104.25,104.25,102.6,103.5,-0.40000000000001,20,85
09/08/2009,104,104,103.75,103.9,0.050000000000011,17,65
09/04/2009,103.85,103.85,103.85,103.85,-0.45,0,58
09/03/2009,104.3,104.3,104.3,104.3,-1.35,0,58
09/02/2009,105.65,105.65,105.65,105.65,-0.099999999999994,0,58
09/01/2009,105.75,105.75,105.75,105.75,-0.049999999999997,0,58
08/31/2009,105.8,105.8,105.8,105.8,0.049999999999997,0,58
08/28/2009,105.75,105.75,105.75,105.75,-0.3,0,58
08/27/2009,106.05,106.05,106.05,106.05,-0.90000000000001,0,58
08/26/2009,106.95,106.95,106.95,106.95,-1.55,0,58
08/25/2009,111.55,111.55,108.5,108.5,-1.15,1,58
08/24/2009,109.65,109.65,109.65,109.65,0.15000000000001,0,58
08/21/2009,109.5,109.5,109.5,109.5,0.049999999999997,0,58
08/20/2009,109.45,109.45,109.45,109.45,0.10000000000001,0,58
08/19/2009,109.35,109.35,109.35,109.35,0.25,0,58
08/18/2009,109.1,109.1,109.1,109.1,-1.35,0,58
