Time,U07,U08,U09,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19
2006-08-01,0.01486014,,,,,,,,,,,,
2006-08-02,0.015384615,,,,,,,,,,,,
2006-08-03,-0.005882353,,,,,,,,,,,,
2006-08-04,0,,,,,,,,,,,,
2006-08-07,0,,,,,,,,,,,,
2006-08-08,-0.005847953,,,,,,,,,,,,
2006-08-09,-0.007256894,,,,,,,,,,,,
2006-08-10,-0.002894356,,,,,,,,,,,,
2006-08-11,0.004360465,,,,,,,,,,,,
2006-08-14,-0.00116144,,,,,,,,,,,,
2006-08-15,-0.028216704,,,,,,,,,,,,
2006-08-16,-0.026373626,,,,,,,,,,,,
2006-08-17,0.006915629,,,,,,,,,,,,
2006-08-18,-0.026655897,,,,,,,,,,,,
2006-08-21,0.018930041,,,,,,,,,,,,
2006-08-22,-0.001916758,,,,,,,,,,,,
2006-08-23,-0.011637348,,,,,,,,,,,,
2006-08-24,0.002713704,,,,,,,,,,,,
2006-08-25,-0.004054054,,,,,,,,,,,,
2006-08-28,0.004888647,,,,,,,,,,,,
2006-08-29,0.006010929,,,,,,,,,,,,
2006-08-30,0.016666667,,,,,,,,,,,,
2006-08-31,0.019830028,,,,,,,,,,,,
2006-09-01,-0.01396648,,,,,,,,,,,,
2006-09-05,0.005617978,,,,,,,,,,,,
2006-09-06,-0.005030743,,,,,,,,,,,,
2006-09-07,-0.000558659,,,,,,,,,,,,
2006-09-08,0.005617978,,,,,,,,,,,,
2006-09-11,0.00140647,,,,,,,,,,,,
2006-09-12,0.009943182,,,,,,,,,,,,
2006-09-13,0.009174312,,,,,,,,,,,,
2006-09-14,-0.00228833,,,,,,,,,,,,
2006-09-15,0.026725404,,,,,,,,,,,,
2006-09-18,-0.010174419,,,,,,,,,,,,
2006-09-19,-0.017142857,,,,,,,,,,,,
2006-09-20,0.003152766,,,,,,,,,,,,
2006-09-21,0.023467292,,,,,,,,,,,,
2006-09-22,-0.00554259,,,,,,,,,,,,
2006-09-25,0.003512881,,,,,,,,,,,,
2006-09-26,-0.001169591,,,,,,,,,,,,
2006-09-27,-0.006968641,,,,,,,,,,,,
2006-09-28,-0.001449696,,,,,,,,,,,,
2006-09-29,-0.008908046,,,,,,,,,,,,
2006-10-02,0.003460208,,,,,,,,,,,,
2006-10-03,-0.001152074,,,,,,,,,,,,
2006-10-04,0.014611338,,,,,,,,,,,,
2006-10-05,0.030102348,,,,,,,,,,,,
2006-10-06,0.00697181,,,,,,,,,,,,
2006-10-09,0.006406345,,,,,,,,,,,,
2006-10-10,-0.012650602,,,,,,,,,,,,
2006-10-11,-0.029239766,,,,,,,,,,,,
2006-10-12,-0.028409091,,,,,,,,,,,,
2006-10-13,-0.027624309,,,,,,,,,,,,
2006-10-16,-0.042328042,,,,,,,,,,,,
2006-10-17,-0.010212097,,,,,,,,,,,,
2006-10-18,0.002888655,,,,,,,,,,,,
2006-10-19,0.002897024,,,,,,,,,,,,
2006-10-20,-0.001840168,,,,,,,,,,,,
2006-10-23,-0.000525486,,,,,,,,,,,,
2006-10-24,-0.00937012,,,,,,,,,,,,
2006-10-25,-0.002077922,,,,,,,,,,,,
2006-10-26,-0.001037883,,,,,,,,,,,,
2006-10-27,-0.014322251,,,,,,,,,,,,
2006-10-30,0.002564103,,,,,,,,,,,,
2006-10-31,0.010362694,,,,,,,,,,,,
2006-11-01,-0.007712082,,,,,,,,,,,,
2006-11-02,0.01038961,,,,,,,,,,,,
2006-11-03,-0.002590674,,,,,,,,,,,,
2006-11-06,-0.001293661,,,,,,,,,,,,
2006-11-07,-0.002580645,,,,,,,,,,,,
2006-11-08,0.019736842,,,,,,,,,,,,
2006-11-09,0.002638522,,,,,,,,,,,,
2006-11-10,0,,,,,,,,,,,,
2006-11-13,-0.007853403,,,,,,,,,,,,
2006-11-14,-0.004949206,,,,,,,,,,,,
2006-11-15,-0.025387154,,,,,,,,,,,,
2006-11-16,-0.000253807,,,,,,,,,,,,
2006-11-17,-0.001267427,,,,,,,,,,,,
2006-11-20,0.006377551,,,,,,,,,,,,
2006-11-21,0.002557545,,,,,,,,,,,,
2006-11-22,-0.008117707,,,,,,,,,,,,
2006-11-27,0.006382436,,,,,,,,,,,,
2006-11-28,-0.012852823,,,,,,,,,,,,
2006-11-29,-0.011952191,,,,,,,,,,,,
2006-11-30,0.007526342,,,,,,,,,,,,
2006-12-01,-0.002502503,,,,,,,,,,,,
2006-12-04,0.003767898,,,,,,,,,,,,
2006-12-05,0.00530303,,,,,,,,,,,,
2006-12-06,-0.011235955,,,,,,,,,,,,
2006-12-07,-0.015002459,,,,,,,,,,,,
2006-12-08,0.025214322,,,,,,,,,,,,
2006-12-11,0.01302682,,,,,,,,,,,,
2006-12-12,-0.008860759,,,,,,,,,,,,
2006-12-13,0.010230179,,,,,,,,,,,,
2006-12-14,0.001536885,,,,,,,,,,,,
2006-12-15,0.003857033,,,,,,,,,,,,
2006-12-18,0.024769433,,,,,,,,,,,,
2006-12-19,0.002377179,,,,,,,,,,,,
2006-12-20,0.001587302,,,,,,,,,,,,
2006-12-21,-0.00026448,,,,,,,,,,,,
2006-12-22,-0.003689065,,,,,,,,,,,,
2006-12-26,0.005298013,,,,,,,,,,,,
2006-12-27,0.005326232,,,,,,,,,,,,
2006-12-28,-0.006087877,,,,,,,,,,,,
2006-12-29,-0.003166227,,,,,,,,,,,,
2007-01-03,0.001321004,,,,,,,,,,,,
2007-01-04,0.013386881,,,,,,,,,,,,
2007-01-05,-0.001336898,,,,,,,,,,,,
2007-01-08,-0.010582011,,,,,,,,,,,,
2007-01-09,0.000529381,,,,,,,,,,,,
2007-01-10,0.009081197,,,,,,,,,,,,
2007-01-11,-0.025,,,,,,,,,,,,
2007-01-12,0.001303781,,,,,,,,,,,,
2007-01-16,-0.029113924,,,,,,,,,,,,
2007-01-17,0.010230179,,,,,,,,,,,,
2007-01-18,0,,,,,,,,,,,,
2007-01-19,0.020887728,,,,,,,,,,,,
2007-01-22,0.018617021,,,,,,,,,,,,
2007-01-23,-0.000531632,,,,,,,,,,,,
2007-01-24,0.005882353,,,,,,,,,,,,
2007-01-25,0.005376344,,,,,,,,,,,,
2007-01-26,0.008130081,,,,,,,,,,,,
2007-01-29,0.05730659,,,,,,,,,,,,
2007-01-30,-0.00114482,,,,,,,,,,,,
2007-01-31,-0.017711555,,,,,,,,,,,,
2007-02-01,-0.011944444,,,,,,,,,,,,
2007-02-02,-0.006896552,-0.007072136,,,,,,,,,,,
2007-02-05,0.008625487,0.007122507,,,,,,,,,,,
