Time,Open,High,Low,Last,Change,Volume,"Open Int"
07/11/2017,131,131,131,131,-1.85,12,0
07/10/2017,132.65,135.25,132.4,132.85,0.84999999999999,6,14
07/07/2017,132,132,132,132,-2.8,1,20
07/06/2017,137.7,137.7,134.8,134.8,-2.7,1,21
07/05/2017,136.55,139.8,136.25,137.5,5.85,12,22
07/03/2017,135.1,136.7,130.75,131.65,1.8,10,34
06/30/2017,133.7,135.15,129.75,129.85,-3.05,140,36
06/29/2017,139,139,132.5,132.9,-6.25,151,163
06/28/2017,142.6,143.6,136.5,139.15,-3.8,178,293
06/27/2017,138,143,134.5,142.95,2.05,475,443
06/26/2017,139.15,141.5,138.1,140.9,3.25,462,730
06/23/2017,131.95,138.75,130.65,137.65,5.7,492,1019
06/22/2017,132.4,133,130.2,131.95,0.54999999999998,619,1426
06/21/2017,135.5,137.8,127.7,131.4,-4.2,1231,1943
06/20/2017,138.1,140.5,134.65,135.6,-3.4,1205,2807
06/19/2017,141.8,142.1,138.5,139,-2.75,1009,3828
06/16/2017,142.8,143.05,140.55,141.75,-1,1008,4726
06/15/2017,139.55,142.85,138,142.75,2.5,896,5388
06/14/2017,141.05,141.5,139,140.25,-0.80000000000001,680,5779
06/13/2017,137.8,142,137.35,141.05,2.9,748,6044
06/12/2017,139,140.1,136,138.15,-0.65000000000001,687,6206
06/09/2017,137.2,139.8,136.55,138.8,1.85,870,6318
06/08/2017,132,139.2,131.75,136.95,5.05,844,6573
06/07/2017,132.7,133.8,131.1,131.9,-0.65000000000001,433,6597
06/06/2017,135.55,138,132.25,132.55,-3.2,715,6613
06/05/2017,133.05,136.45,130.75,135.75,3.25,796,6733
06/02/2017,131.9,134.65,129.7,132.5,0.59999999999999,1285,6881
06/01/2017,133.55,133.55,131.25,131.9,-1.65,1275,7258
05/31/2017,136,136.3,132.75,133.55,-2.9,1089,7587
05/30/2017,138.8,140.7,135.8,136.45,-2.15,718,7774
05/26/2017,137,139.5,135.6,138.6,2.65,694,7805
05/25/2017,136.45,137.05,133.75,135.95,0.049999999999983,1478,7847
05/24/2017,136.75,137.45,135.5,135.9,0.099999999999994,796,7952
05/23/2017,137.05,140.2,135.5,135.8,-0.25,668,7939
05/22/2017,139.15,142,135.5,136.05,-3.7,1088,7887
05/19/2017,141.6,141.6,137.65,139.75,-1.35,1189,7803
05/18/2017,141.15,145.6,140,141.1,-0.80000000000001,874,7837
05/17/2017,143.2,144.05,141.35,141.9,-1.45,541,7849
05/16/2017,144.7,144.95,142.65,143.35,-0.90000000000001,462,7820
05/15/2017,147.6,148.2,143.75,144.25,-3.3,534,7880
05/12/2017,145,148.4,144.45,147.55,2.55,589,7874
05/11/2017,143,146.5,142.35,145,1.35,507,8001
05/10/2017,148.7,150.6,142.6,143.65,-4.75,975,7984
05/09/2017,150.55,151.65,146.85,148.4,-0.25,610,7876
05/08/2017,146,153.75,143.65,148.65,2.3,1159,7891
05/05/2017,146,150.2,145.95,146.35,0.5,705,8086
05/04/2017,150,151,145,145.85,-3.65,1171,8109
05/03/2017,153,154,149,149.5,-4.65,845,8201
05/02/2017,155.2,158.45,151,154.15,-1.65,743,8226
05/01/2017,159.4,159.65,154.4,155.8,-2.55,840,8313
04/28/2017,155.3,159.9,154.95,158.35,2.4,965,7891
04/27/2017,160,160.9,154.55,155.95,-3.8,1032,7932
04/26/2017,157.45,160,156.9,159.75,2.7,865,7544
04/25/2017,154.7,157.35,154.2,157.05,2.3,985,7221
04/24/2017,153.2,155.75,152.65,154.75,2.35,1092,6857
04/21/2017,152.6,153,151.4,152.4,0.25,780,6259
04/20/2017,155,155.25,151.75,152.15,-4.45,519,5879
04/19/2017,155.75,158.35,155.25,156.6,1.95,480,5701
04/18/2017,153.3,156.45,152.85,154.65,1.35,723,5622
04/17/2017,155,157,150.7,153.3,-2.45,466,5321
04/13/2017,153.95,155.95,153.2,155.75,1.3,799,5079
04/12/2017,154.8,155.5,153.4,154.45,-0.35000000000002,274,4460
04/11/2017,158.6,158.6,154.6,154.8,-5,538,4347
04/10/2017,160.3,160.4,158.65,159.8,-0.39999999999998,214,4127
04/07/2017,156.5,160.55,156.5,160.2,4.55,278,4021
04/06/2017,152.5,156.75,152.4,155.65,1.5,366,3896
04/05/2017,154.5,156.05,151.65,154.15,3.95,514,3685
04/04/2017,149.9,155.5,146.55,150.2,0.29999999999998,702,3416
04/03/2017,153.05,154.95,148.4,149.9,-3.15,825,3068
03/31/2017,157.85,157.85,149,153.05,-3.75,1158,2678
03/30/2017,163.4,164.7,156.55,156.8,-6.45,640,2240
03/29/2017,163.65,163.65,161.25,163.25,-1.45,275,1991
03/28/2017,167.2,167.2,163.45,164.7,-3.55,204,1904
03/27/2017,172.25,172.25,164.9,168.25,-4.25,207,1873
03/24/2017,174.1,174.15,171.7,172.5,-3.9,176,1878
03/23/2017,178.15,178.15,174,176.4,-2.15,211,1895
03/22/2017,179.1,180,177.35,178.55,-0.54999999999998,235,1795
03/21/2017,175,179.5,174.55,179.1,4.05,335,1873
03/20/2017,173.25,176.1,173.1,175.05,1.8,172,1852
03/17/2017,170.25,173.5,170.25,173.25,1.95,242,1764
