Time,N07,N08,N09,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19
2006-06-02,0.00557377,,,,,,,,,,,,
2006-06-05,-0.001636661,,,,,,,,,,,,
2006-06-06,-0.010366051,,,,,,,,,,,,
2006-06-07,-0.013738019,,,,,,,,,,,,
2006-06-08,0.009026435,,,,,,,,,,,,
2006-06-09,-0.00736,,,,,,,,,,,,
2006-06-12,0.012309686,,,,,,,,,,,,
2006-06-13,0.004882813,,,,,,,,,,,,
2006-06-14,-0.022589882,,,,,,,,,,,,
2006-06-15,0.004153355,,,,,,,,,,,,
2006-06-16,0,,,,,,,,,,,,
2006-06-19,-0.00729464,,,,,,,,,,,,
2006-06-20,-0.024744819,,,,,,,,,,,,
2006-06-21,-0.018220468,,,,,,,,,,,,
2006-06-22,-0.014071856,,,,,,,,,,,,
2006-06-23,0.030864198,,,,,,,,,,,,
2006-06-26,-0.018479249,,,,,,,,,,,,
2006-06-27,-0.004223228,,,,,,,,,,,,
2006-06-28,-0.005997001,,,,,,,,,,,,
2006-06-29,0.00755287,,,,,,,,,,,,
2006-06-30,-0.004810583,,,,,,,,,,,,
2006-07-03,-0.010119048,,,,,,,,,,,,
2006-07-05,0,,,,,,,,,,,,
2006-07-06,0.030674847,,,,,,,,,,,,
2006-07-07,0.03164557,,,,,,,,,,,,
2006-07-10,0.010553246,,,,,,,,,,,,
2006-07-11,-0.0228125,,,,,,,,,,,,
2006-07-12,0.025969862,,,,,,,,,,,,
2006-07-13,-0.013598988,,,,,,,,,,,,
2006-07-14,0.017047282,,,,,,,,,,,,
2006-07-17,0.018342614,,,,,,,,,,,,
2006-07-18,-0.021474359,,,,,,,,,,,,
2006-07-19,-0.006685769,,,,,,,,,,,,
2006-07-20,0.004477135,,,,,,,,,,,,
2006-07-21,-0.030988534,,,,,,,,,,,,
2006-07-24,-0.030057109,,,,,,,,,,,,
2006-07-25,-0.011292719,,,,,,,,,,,,
2006-07-26,0.001488095,,,,,,,,,,,,
2006-07-27,-0.007971656,,,,,,,,,,,,
2006-07-28,0.001182383,,,,,,,,,,,,
2006-07-31,-0.028710881,,,,,,,,,,,,
2006-08-01,0.01486014,,,,,,,,,,,,
2006-08-02,0.015384615,,,,,,,,,,,,
2006-08-03,-0.005882353,,,,,,,,,,,,
2006-08-04,0,,,,,,,,,,,,
2006-08-07,0,,,,,,,,,,,,
2006-08-08,-0.005847953,,,,,,,,,,,,
2006-08-09,-0.004366812,,,,,,,,,,,,
2006-08-10,-0.005788712,,,,,,,,,,,,
2006-08-11,0.004360465,,,,,,,,,,,,
2006-08-14,-0.00116144,,,,,,,,,,,,
2006-08-15,-0.028216704,,,,,,,,,,,,
2006-08-16,-0.026373626,,,,,,,,,,,,
2006-08-17,0.006915629,,,,,,,,,,,,
2006-08-18,-0.026655897,,,,,,,,,,,,
2006-08-21,0.018930041,,,,,,,,,,,,
2006-08-22,-0.001916758,,,,,,,,,,,,
2006-08-23,-0.011637348,,,,,,,,,,,,
2006-08-24,0.002713704,,,,,,,,,,,,
2006-08-25,-0.004054054,,,,,,,,,,,,
2006-08-28,0.004888647,,,,,,,,,,,,
2006-08-29,0.006010929,,,,,,,,,,,,
