Time,Open,High,Low,Last,Change,Volume,"Open Int"
05/08/2009,89.2,89.2,89.2,89.2,2.4,0,0
05/07/2009,87.45,88,86.8,86.8,0.2,37,278
05/06/2009,87,88.35,86.6,86.6,-0.45,27,500
05/05/2009,88.4,88.4,87,87.05,0.95,112,528
05/04/2009,82.9,86.1,82.9,86.1,5,187,731
05/01/2009,81.5,81.95,81,81.1,1.7,376,945
04/30/2009,79.75,81.65,77.4,79.4,-0.19999999999999,1040,1297
04/29/2009,79.7,80.15,78.65,79.6,0,802,2299
04/28/2009,81.1,81.1,75.85,79.6,-1.6,2434,2911
04/27/2009,81.35,82.6,79.75,81.2,-0.25,1404,4641
04/24/2009,81,82,80.5,81.45,0.5,413,5783
04/23/2009,79.7,81.3,79.7,80.95,1.65,592,6198
04/22/2009,80.2,80.4,78.6,79.3,-1.15,1016,6691
04/21/2009,82,82.65,80,80.45,-3.15,1253,7245
04/20/2009,84.1,84.85,81.7,83.6,-1.35,1755,7940
04/17/2009,83.55,86.5,83.55,84.95,1.15,1096,9432
04/16/2009,82.5,83.9,81.6,83.8,0.95,2041,10471
04/15/2009,86,86.5,82.65,82.85,-3.4,1914,11827
04/14/2009,83.95,87.6,83.05,86.25,2,2186,12728
04/13/2009,83.1,84.5,83.1,84.25,1.05,1253,12730
04/09/2009,81.15,83.5,80.55,83.2,2.15,1576,12967
04/08/2009,77.25,81.5,77.1,81.05,3.8,4569,13378
04/07/2009,76.55,77.75,75.35,77.25,0.65000000000001,1769,14625
04/06/2009,76.25,76.8,75,76.6,0.69999999999999,967,15492
04/03/2009,75.35,76,74.6,75.9,0.60000000000001,959,15491
04/02/2009,74.65,75.65,74.55,75.3,0.8,867,15589
04/01/2009,75.5,76.45,73.35,74.5,-1.8,2124,15838
03/31/2009,77.05,77.35,75.9,76.3,-0.40000000000001,1509,16299
03/30/2009,77.05,77.15,75.7,76.7,-0.39999999999999,1114,16834
03/27/2009,77.35,77.4,76.25,77.1,-0.2,434,17525
03/26/2009,77,77.4,75.25,77.3,0.049999999999997,919,17753
03/25/2009,77.35,77.95,76.1,77.25,0.3,1212,17892
