Time,Open,High,Low,Last,Change,Volume,"Open Int"
05/10/2007,169,170,168,168.7,-6.1,0,0
05/09/2007,177,178.5,174.8,174.8,1.8,88,412
05/08/2007,169.9,173,169.9,173,3.95,112,457
05/07/2007,169.5,170,168.4,169.05,-0.14999999999998,80,466
05/04/2007,174,174,169,169.2,-2.3,303,485
05/03/2007,170,172,170,171.5,2.5,164,562
05/02/2007,166,169,166,169,4,369,587
05/01/2007,165.05,168.25,163,165,-1,365,742
04/30/2007,162,166.5,162,166,3.5,725,935
04/27/2007,157.5,162.5,157.5,162.5,3.05,497,1567
04/26/2007,159.25,159.5,157,159.45,-1.85,1753,1924
04/25/2007,162,163,161.2,161.3,-2.2,680,3272
04/24/2007,163.6,166,161.5,163.5,-1,2000,3689
04/23/2007,161,164.65,160.5,164.5,3.5,2052,4446
04/20/2007,154.25,164,153,161,5.4,1889,5186
04/19/2007,163,163.5,150.75,155.6,-8.9,4511,6443
04/18/2007,168.05,168.5,162.8,164.5,-4.15,2846,7372
04/17/2007,169.2,169.5,168,168.65,-1.5,1664,8615
04/16/2007,165.5,170.5,165.5,170.15,2.4,1798,9296
04/13/2007,167.6,170,167.3,167.75,1.2,2809,10184
04/12/2007,175.25,176.5,165.55,166.55,-8.7,4926,11007
04/11/2007,181.3,182.5,174.75,175.25,-6.5,3783,11373
04/10/2007,181.75,184,180.75,181.75,-1.15,2137,12331
04/09/2007,187.25,187.5,181.5,182.9,-5.85,3071,12499
04/05/2007,190.3,191.25,188.5,188.75,-3.5,1879,13602
04/04/2007,189.5,192.5,189.5,192.25,1.8,1081,14382
04/03/2007,191,192.3,188.5,190.45,-1.3,1798,14535
04/02/2007,189.65,191.8,188.5,191.75,2.5,2268,15073
03/30/2007,185.25,190,185.1,189.25,3.6,4464,15818
03/29/2007,188,189,185.5,185.65,-2.85,3828,17518
03/28/2007,194.5,194.8,185.5,188.5,-7,4696,18655
03/27/2007,195.9,196,194.7,195.5,-0.75,1078,20111
03/26/2007,195,196.4,195,196.25,1.3,731,20456
03/23/2007,195.85,196.35,193.9,194.95,-1.6,3114,20582
03/22/2007,200.1,200.2,196.3,196.55,-4.95,2648,21412
03/21/2007,201.75,201.8,199.9,201.5,-0.34999999999999,885,21738
03/20/2007,201,203,200.5,201.85,-0.15000000000001,865,21688
03/19/2007,199.95,202,199.2,202,2.05,698,21649
03/16/2007,199.75,200.4,198.75,199.95,1.1,1342,21528
03/15/2007,197.6,199,197.5,198.85,1.65,1285,21597
03/14/2007,198.75,198.75,196.1,197.2,-1.15,1582,21550
03/13/2007,198,199.5,198,198.35,-0.5,585,21821
03/12/2007,200.75,200.75,197.2,198.85,-1.1,1436,21842
03/09/2007,202.55,202.6,198.7,199.95,-4.25,2301,21842
03/08/2007,203.3,205.3,202.75,204.2,2.1,1822,21811
03/07/2007,204.2,204.4,201.5,202.1,-1.5,1249,21934
03/06/2007,202.3,204.8,202.3,203.6,2.05,1235,22085
03/05/2007,205.1,205.35,201.2,201.55,-3.5,2693,22201
03/02/2007,204.25,205.4,204,205.05,0.050000000000011,2017,22490
03/01/2007,199.5,205.8,198.9,205,4.5,2863,21682
02/28/2007,201.5,202.4,198.4,200.5,-2.45,2680,20841
02/27/2007,200.5,204.1,200.5,202.95,3.15,4603,20258
