Time,Open,High,Low,Last,Change,Volume,"Open Int"
11/09/2009,113,113,112.1,112.1,0.5,0,0
11/06/2009,111.3,112.15,111.25,111.6,0.39999999999999,31,16
11/05/2009,110.65,111.25,110.65,111.2,0.55,36,53
11/04/2009,110.05,111.5,110.05,110.65,2.9,5,44
11/03/2009,106.9,108.55,106.9,107.75,0.59999999999999,49,69
11/02/2009,111,111.75,106.9,107.15,-4.2,348,291
10/30/2009,113.35,113.65,111,111.35,-1.8,1127,435
10/29/2009,111.5,114,111.1,113.15,1.1,1936,1651
10/28/2009,113,113,111.2,112.05,-1.25,379,3568
10/27/2009,111.3,114.4,109.85,113.3,2,869,3902
10/26/2009,110,113.6,109.4,111.3,0.7,897,4529
10/23/2009,112.6,112.85,110,110.6,-3,1575,5115
10/22/2009,116.8,116.9,112.65,113.6,-3.4,2290,6297
10/21/2009,116.75,118.2,115.95,117,0.5,1883,7785
10/20/2009,116.2,116.75,115.3,116.5,0.84999999999999,1261,8778
10/19/2009,114.8,117,114.05,115.65,0.2,1927,9454
10/16/2009,112.7,117,111.2,115.45,2.7,4464,10997
10/15/2009,112.55,113.45,110.35,112.75,0.3,1439,17236
10/14/2009,112,112.85,109.7,112.45,-0.45,1600,17054
10/13/2009,112.2,112.95,110.15,112.9,0.5,3278,16841
10/12/2009,109.65,113.25,109.65,112.4,3.75,3114,18347
10/09/2009,98.85,108.65,98,108.65,10,5796,17656
10/08/2009,94.6,99,94,98.65,4.35,2593,17146
10/07/2009,93,94.85,92,94.3,0.34999999999999,1470,17053
10/06/2009,94.5,94.9,92,93.95,0,896,17879
10/05/2009,93.45,95,93.45,93.95,1.15,827,18094
10/02/2009,93.2,93.7,92.35,92.8,0.45,939,17971
10/01/2009,91.5,93.3,91.5,92.35,0.84999999999999,944,17871
09/30/2009,91.9,94,91.25,91.5,-0.099999999999994,1375,18747
09/29/2009,90.95,91.9,90.6,91.6,0.84999999999999,2414,19466
09/28/2009,91.1,91.9,90.25,90.75,-0.15000000000001,1036,21183
09/25/2009,91.05,91.25,90.4,90.9,-1.15,807,21600
09/24/2009,96.15,96.55,91,92.05,-5.1,1833,22010
09/23/2009,98,99.95,96.15,97.15,-1.95,959,22325
09/22/2009,99.15,101.9,98.15,99.1,-0.45,1437,22724
09/21/2009,101.9,101.9,93.7,99.55,-4.1,1696,23094
09/18/2009,102.65,104.5,100.3,103.65,1,1801,23487
09/17/2009,99.1,103.5,97.45,102.65,3.85,2002,23487
09/16/2009,96,99.8,95.2,98.8,3.75,1935,23023
09/15/2009,90,95.9,90,95.05,5.15,1709,23128
09/14/2009,89.95,90.05,89.3,89.9,0.30000000000001,572,22825
09/11/2009,89.8,90.9,86.1,89.6,-0.15000000000001,1680,22588
09/10/2009,90.7,91,89.15,89.75,-1,710,22631
09/09/2009,91.35,92,89.75,90.75,-0.65000000000001,1211,22517
09/08/2009,91.7,93.5,91.15,91.4,-0.25,1270,22599
09/04/2009,92,92.25,91.1,91.65,-0.59999999999999,1267,22751
09/03/2009,94,94.2,91.75,92.25,-1.75,1267,22874
09/02/2009,94.5,95,93.55,94,-0.40000000000001,468,23043
09/01/2009,94.15,97,93.4,94.4,0.050000000000011,1343,23339
08/31/2009,94.1,94.65,93.4,94.35,-0.15000000000001,1190,23485
08/28/2009,94.5,94.75,93.6,94.5,-0.25,1460,23529
08/27/2009,95.55,96.4,94,94.75,-0.95,1333,23171
08/26/2009,97,97.8,95.05,95.7,-1.5,1578,23259
08/25/2009,99.35,100,96.6,97.2,-1.25,1214,23165
08/24/2009,98.6,108.6,97.75,98.45,-0.2,1271,23110
08/21/2009,99,100.8,98.25,98.65,0,751,22793
08/20/2009,98.6,101.5,97.8,98.65,0.050000000000011,883,22730
08/19/2009,98.1,98.95,97.5,98.6,0,1935,22550
08/18/2009,100,100,98,98.6,-1.5,1103,21528
08/17/2009,103.8,106,98,100.1,-3.9,2314,21140
08/14/2009,113,113.1,102.7,104,-8.7,2098,20317
08/13/2009,113.5,114,111,112.7,-1.35,586,19544
08/12/2009,114,114.75,109.45,114.05,-0.15000000000001,803,19239
08/11/2009,111.25,114.6,110.05,114.2,4.55,1345,18729
08/10/2009,104.9,111.15,104.2,109.65,4.7,1881,17713
08/07/2009,103.15,105.5,102,104.95,1.7,811,16607
08/06/2009,101.5,104,101.45,103.25,2.35,758,16264
08/05/2009,97.2,101.8,96.4,100.9,4.6,1921,15575
08/04/2009,93.5,99.4,93.15,96.3,3,835,14057
08/03/2009,94.75,94.75,93,93.3,-1.5,1038,13644
07/31/2009,96,96.25,94.8,94.8,-1.55,1102,12518
07/30/2009,94.8,97.2,94.8,96.35,1.55,709,11391
07/29/2009,97,97,94.6,94.8,-3.05,245,10469
07/28/2009,98.95,99.05,97.85,97.85,-1.4,562,10493
07/27/2009,98.8,99.6,98.8,99.25,-0.25,367,10033
07/24/2009,98,99.8,97.75,99.5,0.25,352,9741
07/23/2009,100.75,100.75,98.1,99.25,-2.85,695,9661
07/22/2009,104.75,104.75,100.15,102.1,-3.4,406,9055
07/21/2009,104.75,106.1,104.55,105.5,-1.5,154,8823
07/20/2009,105.55,107.7,105.1,107,0.2,305,8717
07/17/2009,104.8,107.8,104.8,106.8,1.75,161,8547
07/16/2009,102.75,105.45,102.5,105.05,-1.1,245,8567
07/15/2009,102.1,107,101.5,106.15,5,1114,8409
07/14/2009,97.85,102,97.8,101.15,2.7,931,7649
07/13/2009,95.9,98.85,95.75,98.45,1.4,989,6995
07/10/2009,93,97.05,93,97.05,4.4,557,6309
07/09/2009,88,93.3,88,92.65,4.3,111,6063
07/08/2009,92,92,87.45,88.35,-3.25,203,6078
07/07/2009,89.65,92.5,89,91.6,2.15,161,6103
07/06/2009,82.7,91,82.7,89.45,6.75,309,6065
07/02/2009,82.4,83,82.25,82.7,-0.39999999999999,28,6024
07/01/2009,82,83.3,81.5,83.1,1.1,84,6015
06/30/2009,80,82.85,79.5,82,2.4,513,6011
06/29/2009,79.5,79.8,79,79.6,-0.15000000000001,86,5682
06/26/2009,80.3,80.5,79.35,79.75,-0.34999999999999,556,5635
06/25/2009,80,80.45,79.5,80.1,-0.7,277,5099
06/24/2009,81,81.7,80.75,80.8,-0.45,126,4853
06/23/2009,81.4,81.4,79.4,81.25,-0.34999999999999,405,4787
06/22/2009,83.7,83.7,81.4,81.6,-2.1,258,4622
06/19/2009,85.25,85.45,83.25,83.7,-0.89999999999999,180,4417
06/18/2009,83.75,85.1,83,84.6,1.25,463,4333
06/17/2009,84.25,84.25,83,83.35,-0.90000000000001,137,3979
06/16/2009,83.65,85.5,83.5,84.25,-0.34999999999999,126,3868
06/15/2009,87.5,87.5,83.9,84.6,-4.45,81,3838
06/12/2009,90.25,90.25,87.75,89.05,-2.05,193,3787
06/11/2009,91.4,91.4,90.15,91.1,-0.2,90,3711
06/10/2009,92.5,92.5,91.3,91.3,-1.45,48,3669
06/09/2009,94.3,94.7,92.05,92.75,-1.55,179,3671
06/08/2009,95.7,95.7,93.75,94.3,-2.05,40,3599
06/05/2009,97.5,97.5,95.85,96.35,-1.2,23,3560
06/04/2009,98.5,98.5,97,97.55,-1.2,120,3539
06/03/2009,99.3,99.3,98.75,98.75,-1,93,3494
06/02/2009,98.25,100.05,97.75,99.75,-0.59999999999999,42,3462
06/01/2009,101.25,101.5,99.8,100.35,0,67,3433
05/29/2009,103,103.65,100.2,100.35,-0.60000000000001,80,3376
05/28/2009,100.75,101,100.75,100.95,0.7,34,3339
05/27/2009,98.6,100.25,98.6,100.25,1.7,33,3320
05/26/2009,97.6,98.6,96.85,98.55,0.5,289,3308
05/22/2009,95.65,98.4,95.65,98.05,1.9,43,3103
05/21/2009,95.7,96.15,94.9,96.15,-0.59999999999999,37,3103
05/20/2009,97.45,97.45,95.25,96.75,-0.5,48,3098
05/19/2009,98,98.65,97,97.25,-1.15,22,3074
05/18/2009,94.9,98.85,94.9,98.4,-0.89999999999999,11,3062
05/15/2009,98.4,99.3,98.4,99.3,0.25,6,3066
05/14/2009,97,99.25,97,99.05,0.34999999999999,94,3071
05/13/2009,98,98.7,97,98.7,-0.84999999999999,19,3074
05/12/2009,99.05,100.9,98.7,99.55,1.9,21,3075
05/11/2009,98.65,98.65,97.55,97.65,1.3,4,3066
05/08/2009,96.2,96.35,96.2,96.35,0.39999999999999,44,3069
05/07/2009,96.4,96.4,95.95,95.95,0.3,8,2534
05/06/2009,95.6,95.65,95.15,95.65,-0.44999999999999,22,2540
05/05/2009,95.6,96.55,95.6,96.1,1,4,2043
