Time,Open,High,Low,Last,Change,Volume,"Open Int"
07/11/2019,100.2,100.2,100.2,100.2,-0.7,0,0
07/10/2019,100.9,100.9,100.9,100.9,0.2,8,0
07/09/2019,100.7,100.7,100.7,100.7,-2.45,241,8
07/08/2019,103.15,103.15,103.15,103.15,5.45,0,241
07/05/2019,97.7,97.7,97.7,97.7,1.2,0,241
07/03/2019,96.5,96.5,96.5,96.5,0.59999999999999,4,241
07/02/2019,98,98,95.9,95.9,-2.4,4,241
07/01/2019,101.9,101.9,98,98.3,-2.65,21,242
06/28/2019,99.45,101.65,99.45,100.95,1.65,212,251
06/27/2019,99,100.3,97.7,99.3,0.39999999999999,970,423
06/26/2019,100.65,101.4,98,98.9,-1.65,690,1197
06/25/2019,99.85,102.3,99.85,100.55,1.3,754,1823
06/24/2019,99.85,100.25,96.9,99.25,-0.75,1200,2426
06/21/2019,99.95,100.6,99.55,100,0.2,779,3357
06/20/2019,99.1,101.25,98,99.8,1,1732,4257
06/19/2019,101.8,102.1,98.1,98.8,-2.9,1553,5547
06/18/2019,104.35,105.3,101.05,101.7,-3.05,1782,6512
06/17/2019,104.45,105.95,104.2,104.75,0.25,1742,7721
06/14/2019,104.45,105.1,103.25,104.5,1.75,1201,9158
06/13/2019,101.2,104.05,101.15,102.75,1.2,1027,10101
06/12/2019,103.5,104.5,100.7,101.55,-1.9,1154,10752
06/11/2019,101.65,103.9,100.35,103.45,1.8,1314,11390
06/10/2019,106.1,107.35,100.25,101.65,-4.45,917,12228
06/07/2019,107.25,107.8,105.1,106.1,-1.2,410,12552
06/06/2019,103.55,108,102.15,107.3,3.55,791,12665
06/05/2019,108.45,109.75,103.4,103.75,-4.8,1126,12931
06/04/2019,111.2,112.6,107,108.55,-2.35,1119,13176
06/03/2019,108.25,111.5,106.95,110.9,2.5,1145,13592
05/31/2019,104.8,108.75,104.7,108.4,3.85,1335,14109
05/30/2019,104.25,105.55,104,104.55,1.35,586,14813
05/29/2019,104.8,106.05,102.65,103.2,-1.2,720,15080
05/28/2019,100.85,105.05,100.85,104.4,3.45,758,15326
05/24/2019,99.7,101.5,98.5,100.95,1.25,543,15413
05/23/2019,98.45,101.95,98.45,99.7,1.5,704,15491
05/22/2019,98.5,101.3,97.95,98.2,0.2,432,15594
05/21/2019,99.65,99.75,95.1,98,-2.25,674,15570
05/20/2019,97.95,101.5,96.85,100.25,3.5,698,15528
05/17/2019,102.55,102.75,96.4,96.75,-5.75,1186,15640
05/16/2019,106.75,107.5,102.25,102.5,-4.4,1391,15654
05/15/2019,102.1,107.8,102.1,106.9,5.2,2088,15953
05/14/2019,96.7,102.5,96.7,101.7,5.9,1323,16511
05/13/2019,95.7,96.9,95.35,95.8,0.75,726,16889
05/10/2019,93.65,96.95,93.25,95.05,1.4,725,17052
05/09/2019,94.55,94.65,91.85,93.65,-1.3,758,17054
05/08/2019,90.75,95.2,90.7,94.95,4.05,1225,17037
05/07/2019,92.5,92.5,90.65,90.9,-0.75,707,17049
05/06/2019,93.1,93.1,90.6,91.65,-2.25,1014,16862
05/03/2019,93.65,94.7,93.25,93.9,0.45,887,16873
05/02/2019,94.5,97.7,93.3,93.45,-2.35,1281,16687
05/01/2019,97.05,98,92.75,95.8,-1.25,1475,16542
04/30/2019,102.5,102.7,95.25,97.05,-5.15,2225,16359
04/29/2019,103.35,104.3,101.7,102.2,-1.35,969,16072
04/26/2019,105,105.15,103,103.55,-1.25,1211,15785
04/25/2019,104.6,106.5,104.1,104.8,0.34999999999999,1124,15162
04/24/2019,105.55,106.7,103.65,104.45,-1.1,1485,14540
04/23/2019,109.95,109.95,104.5,105.55,-4.25,1915,13794
04/22/2019,110,110.5,109.6,109.8,-0.35000000000001,645,12931
04/18/2019,111.85,112.2,109.85,110.15,-1.5,1277,12813
04/17/2019,109.3,112,109.25,111.65,2.65,2005,12201
04/16/2019,112,112.15,108.1,109,-2.6,2376,10945
04/15/2019,108.9,113.05,108.8,111.6,2.8,1246,9354
04/12/2019,109.9,110.9,107.6,108.8,-0.95,1381,8520
04/11/2019,112.25,112.4,109,109.75,-2.45,961,7769
04/10/2019,113.7,114.35,111.85,112.2,-1.95,1051,7338
04/09/2019,115.45,116.15,112.45,114.15,-1.2,1239,7078
04/08/2019,119.95,119.95,114.85,115.35,-4.75,1461,6330
04/05/2019,120.15,121.2,119.2,120.1,-0.050000000000011,491,5736
04/04/2019,122.1,122.1,119.55,120.15,-1.95,551,5639
04/03/2019,124.1,124.45,121.5,122.1,-1.05,260,5482
04/02/2019,124.5,126.45,123.05,123.15,-1.7,294,5352
04/01/2019,121.25,125.9,121.25,124.85,3.85,257,5209
03/29/2019,124,124.05,120.3,121,-3.7,274,4975
03/28/2019,124.8,125.5,122.1,124.7,1.05,315,4757
03/27/2019,129.05,129.75,122.1,123.65,-4.9,367,4570
03/26/2019,128.65,129.7,128.25,128.55,-0.39999999999998,501,4474
03/25/2019,128.3,130.65,127.9,128.95,-1.05,633,4115
03/22/2019,127.5,130.1,125.7,130,2.3,385,3686
03/21/2019,130.45,131.35,127.3,127.7,-2.7,395,3477
03/20/2019,129.9,130.4,129.7,130.4,0.59999999999999,304,3253
03/19/2019,129,129.9,129,129.8,0.75,301,3081
03/18/2019,127.05,129.55,126.65,129.05,2.2,119,2892
03/15/2019,125.55,126.9,125.55,126.85,1.3,93,2880
03/14/2019,123.9,126.25,123.7,125.55,1.7,303,2836
03/13/2019,126.5,128.35,123.15,123.85,-0.15000000000001,479,2695
03/12/2019,119.7,125,119.7,124,3.95,452,2526
03/11/2019,117.55,122.5,117,120.05,2.4,332,2376
03/08/2019,118.05,118.45,117.45,117.65,-0.3,64,2239
03/07/2019,117.5,118.75,117.1,117.95,0.55,141,2219
03/06/2019,117.5,117.5,117.1,117.4,0.050000000000011,113,2160
03/05/2019,119.05,119.05,117.25,117.35,-1,201,2164
03/04/2019,117.4,118.7,117,118.35,0.59999999999999,125,2118
03/01/2019,118.8,118.8,117,117.75,-1.35,208,2164
02/28/2019,118.4,119.6,118.4,119.1,0.59999999999999,91,2165
02/27/2019,120,120.1,117.5,118.5,-1.75,345,2149
02/26/2019,120.45,121.25,119.1,120.25,-0.59999999999999,108,1945
02/25/2019,123.35,123.35,120.6,120.85,-2.35,72,1905
02/22/2019,122.4,123.35,120.4,123.2,1.5,134,1879
02/21/2019,121.85,121.9,121.05,121.7,0.2,59,1861
02/20/2019,119.8,121.9,119.5,121.5,1.55,135,1843
02/19/2019,117.5,120,117.15,119.95,2.9,195,1791
02/15/2019,119.75,120.5,116.8,117.05,-2.45,252,1777
02/14/2019,120.8,121.25,118.95,119.5,-1.3,183,1733
02/13/2019,120.85,121.4,120.75,120.8,0.049999999999997,58,1685
02/12/2019,121.05,121.8,120.75,120.75,-0.2,23,1657
02/11/2019,123,123.05,120.85,120.95,-1.75,86,1643
02/08/2019,122.35,122.85,122.35,122.7,1.05,36,1592
02/07/2019,122,122,120.9,121.65,-0.75,31,1565
02/06/2019,122.75,123.25,122.1,122.4,0.5,51,1548
02/05/2019,121.95,122.7,121.6,121.9,1,26,1530
02/04/2019,123.55,123.55,120.6,120.9,-3.2,98,1527
02/01/2019,122,124.1,122,124.1,1.75,79,1501
01/31/2019,119.1,122.45,119.1,122.35,2.85,97,1471
01/30/2019,119.65,119.65,118.55,119.5,-0.55,84,1397
01/29/2019,120.65,120.85,118.75,120.05,-0.90000000000001,60,1364
01/28/2019,121.95,121.95,120.55,120.95,-1,52,1341
01/25/2019,121.15,122.25,120.85,121.95,-0.099999999999994,55,1322
01/24/2019,120.85,122.05,120,122.05,1.2,90,1312
01/23/2019,121.3,121.8,120.85,120.85,-1.1,68,1240
01/22/2019,122.4,122.7,121.25,121.95,-0.39999999999999,64,1221
01/18/2019,122.3,122.75,122.2,122.35,0.5,37,1214
01/17/2019,123,123,121.6,121.85,-1.55,31,1212
01/16/2019,123.5,123.75,122.2,123.4,-0.34999999999999,92,1208
01/15/2019,124.75,124.75,123.7,123.75,0.5,59,1209
01/14/2019,123.6,123.6,121.6,123.25,-0.40000000000001,54,1207
01/11/2019,124.9,124.9,123.35,123.65,-1.35,144,1195
01/10/2019,127.25,127.35,124.85,125,-1.95,140,1181
01/09/2019,126.3,127.3,126,126.95,1.3,39,1105
01/08/2019,126.55,127.55,125.4,125.65,-0.39999999999999,70,1080
01/07/2019,126.05,126.25,125.1,126.05,0.3,89,1076
01/04/2019,126.6,126.6,125.4,125.75,0.40000000000001,60,1033
01/03/2019,128.6,128.6,125.1,125.35,-0.45,126,996
01/02/2019,127.85,127.85,125.45,125.8,-2.55,167,919
12/31/2018,129,129,127.85,128.35,-0.45000000000002,50,807
12/28/2018,127,129.95,126.7,128.8,1.8,60,764
12/27/2018,129.2,129.2,126.9,127,-2.4,83,761
12/26/2018,129.5,129.5,128.5,129.4,-0.40000000000001,47,735
12/24/2018,130.25,130.25,129.75,129.8,-0.44999999999999,11,688
12/21/2018,131,131,129.8,130.25,-0.90000000000001,71,677
12/20/2018,135.75,136.1,129.1,131.15,-4.7,80,665
12/19/2018,136.1,136.1,135.15,135.85,-1,20,616
12/18/2018,137.1,137.1,136.75,136.85,-2.55,9,606
12/17/2018,139.6,139.6,139.4,139.4,-0.5,10,601
12/14/2018,139.4,140.3,139.15,139.9,0.34999999999999,21,596
12/13/2018,139.5,139.55,139.5,139.55,0.050000000000011,1,575
12/12/2018,140.05,140.05,139.5,139.5,0.30000000000001,5,575
12/11/2018,139.95,139.95,139.2,139.2,-1.45,2,572
12/10/2018,143.1,143.1,136.15,140.65,-3.3,15,571
12/07/2018,143.8,143.95,143.8,143.95,1.5,3,559
12/06/2018,140.15,142.45,139.75,142.45,-2,18,560
12/05/2018,143.5,144.45,143.5,144.45,-0.25,1,554
12/04/2018,144.5,145,143.55,144.7,0.69999999999999,24,554
12/03/2018,143.95,144,143.65,144,0,15,541
11/30/2018,145,145,143,144,-0.90000000000001,85,536
11/29/2018,141.1,145,141.1,144.9,4.05,44,457
11/28/2018,140.85,140.85,140.85,140.85,0.19999999999999,0,423
11/27/2018,143,143.2,139.6,140.65,-0.59999999999999,28,423
11/26/2018,142.8,142.8,141.15,141.25,-1.35,4,417
11/23/2018,142.5,143,141.9,142.6,1.05,11,414
11/21/2018,141.65,142.1,141.55,141.55,0.90000000000001,10,414
11/20/2018,141.75,141.75,140.15,140.65,-0.94999999999999,11,418
11/19/2018,140,141.7,140,141.6,2.75,24,415
11/16/2018,135.55,138.85,134.9,138.85,2.8,64,420
11/15/2018,135.85,136.05,135.5,136.05,-0.14999999999998,15,426
11/14/2018,137,137,135.85,136.2,-0.30000000000001,50,425
11/13/2018,137.65,137.65,136.5,136.5,-1.4,15,389
11/12/2018,137.75,137.95,137.5,137.9,-0.5,15,378
11/09/2018,137.85,138.4,137.5,138.4,-0.25,13,369
11/08/2018,138.65,138.65,138.65,138.65,-0.84999999999999,0,368
11/07/2018,138.05,139.5,137.9,139.5,0.90000000000001,5,368
11/06/2018,138.9,138.9,138.6,138.6,-1.1,5,368
11/05/2018,139.8,139.8,139.7,139.7,0.25,1,363
11/02/2018,139.45,139.45,139.45,139.45,-0.050000000000011,0,363
11/01/2018,139.5,139.5,139.5,139.5,0.099999999999994,0,363
10/31/2018,139.6,139.6,139.4,139.4,-0.75,5,363
10/30/2018,139.6,140.15,139.6,140.15,-0.19999999999999,1,358
10/29/2018,139,140.35,138.9,140.35,1.2,16,358
10/26/2018,139.15,139.15,139.15,139.15,-1.1,1,353
10/25/2018,141,141,139.65,140.25,-0.34999999999999,24,353
10/24/2018,140.6,140.6,140.6,140.6,1.65,0,344
10/23/2018,139.3,139.65,137.75,138.95,-1.05,36,344
10/22/2018,142.1,142.1,139.5,140,-2.45,49,334
10/19/2018,144.3,144.3,142.2,142.45,-1.35,42,305
10/18/2018,144.7,144.7,143.8,143.8,-0.34999999999999,2,263
10/17/2018,145.6,145.6,144,144.15,-1.15,25,262
10/16/2018,145,145.75,145,145.3,-0.39999999999998,3,245
10/15/2018,145.65,146.5,145.65,145.7,0.049999999999983,3,245
10/12/2018,145,145.65,145,145.65,0.80000000000001,4,242
10/11/2018,144.85,144.85,144.85,144.85,-1,0,239
10/10/2018,145,145.85,145,145.85,-0.050000000000011,9,239
10/09/2018,145.9,145.9,145.9,145.9,-2.4,1,233
10/08/2018,148.3,148.3,148.3,148.3,1.7,1,232
10/05/2018,147,147,146.2,146.6,-1,20,232
10/04/2018,148.5,149.15,147.15,147.6,-0.95000000000002,68,220
10/03/2018,148.75,149.2,148.55,148.55,-0.54999999999998,38,181
10/02/2018,148.9,149.1,148.75,149.1,0.19999999999999,22,167
10/01/2018,149,149,148.9,148.9,-1.15,22,158
09/28/2018,150.05,150.05,150.05,150.05,0.90000000000001,0,141
09/27/2018,149.5,149.5,149,149.15,-0.40000000000001,2,141
09/26/2018,149,149.55,149,149.55,-1.55,1,139
09/25/2018,149.9,151.1,149.9,151.1,2.25,3,138
09/24/2018,148.7,149.45,148.7,148.85,-0.25,3,137
09/21/2018,149.1,149.1,149.1,149.1,-0.40000000000001,0,134
09/20/2018,148.85,149.5,148.85,149.5,0.55000000000001,2,134
09/19/2018,150,150,148.2,148.95,-1.1,25,134
09/18/2018,153.2,153.2,150,150.05,-4.35,31,125
09/17/2018,155.2,155.2,154.2,154.4,-0.84999999999999,3,102
09/14/2018,154.9,155.25,154.8,155.25,-0.30000000000001,10,100
09/13/2018,155.55,155.55,155.55,155.55,0,0,94
09/12/2018,155.55,155.55,155.55,155.55,-3.35,1,94
09/11/2018,158.9,158.9,158.9,158.9,-1.1,0,93
09/10/2018,160,160,160,160,2,0,93
09/07/2018,158,158,158,158,3.65,0,93
09/06/2018,154.35,154.35,154.35,154.35,-0.050000000000011,0,93
09/05/2018,154.9,154.9,154,154.4,-1.2,12,93
09/04/2018,155.6,155.6,155.6,155.6,0.34999999999999,4,91
08/31/2018,155.25,155.25,155,155.25,-0.15000000000001,38,90
08/30/2018,155.4,155.4,155.4,155.4,0,3,52
08/29/2018,155.1,155.4,155,155.4,-0.44999999999999,19,50
08/28/2018,157.6,157.95,155.85,155.85,-3.2,22,36
08/27/2018,160.05,160.05,159.05,159.05,0.80000000000001,1,22
08/24/2018,158.25,158.25,158.25,158.25,-0.40000000000001,0,22
08/23/2018,158.65,158.65,158.65,158.65,-0.34999999999999,0,22
08/22/2018,159,159,159,159,-0.050000000000011,5,22
08/21/2018,159,159.05,159,159.05,-0.94999999999999,7,17
08/20/2018,160,160,160,160,-1.25,0,16
08/17/2018,161.25,161.25,161.25,161.25,1.65,0,16
08/16/2018,159,159.6,159,159.6,-0.34999999999999,4,16
08/15/2018,159.95,159.95,159.95,159.95,-0.90000000000001,0,12
08/14/2018,161.65,161.65,160.85,160.85,-0.84999999999999,12,12
08/13/2018,161.7,161.7,161.7,161.7,-2.2,0,0
08/10/2018,163.9,163.9,163.9,163.9,-2.35,0,0
08/09/2018,166.25,166.25,166.25,166.25,0.19999999999999,0,0
08/08/2018,166.05,166.05,166.05,166.05,-0.049999999999983,0,0
08/07/2018,166.1,166.1,166.1,166.1,-1.65,0,0
08/06/2018,167.75,167.75,167.75,167.75,-2.2,0,0
08/03/2018,169.95,169.95,169.95,169.95,1.1,0,0
08/02/2018,168.85,168.85,168.85,168.85,0,0,0
08/01/2018,168.85,168.85,168.85,168.85,1.3,0,0
07/31/2018,167.55,167.55,167.55,167.55,-1.3,0,0
07/30/2018,168.85,168.85,168.85,168.85,4.75,0,0
07/27/2018,164.1,164.1,164.1,164.1,0,0,0
07/26/2018,164.1,164.1,164.1,164.1,-0.70000000000002,0,0
07/25/2018,164.8,164.8,164.8,164.8,1.65,0,0
07/24/2018,163.15,163.15,163.15,163.15,-4.4,0,0
07/23/2018,167.55,167.55,167.55,167.55,-2.25,0,0
07/20/2018,169.8,169.8,169.8,169.8,0.65000000000001,0,0
07/19/2018,169.15,169.15,169.15,169.15,0.84999999999999,0,0
07/18/2018,168.3,168.3,168.3,168.3,-1.55,0,0
07/17/2018,169.85,169.85,169.85,169.85,0.049999999999983,0,0
07/16/2018,169.8,169.8,169.8,169.8,0.70000000000002,0,0
07/13/2018,169.1,169.1,169.1,169.1,1.2,0,0
07/12/2018,167.9,167.9,167.9,167.9,0.34999999999999,0,0
