"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","559.38","555.50","559.62","553.25","-","0.70%"
"Dec 30, 2019","555.50","558.88","564.62","551.62","-","-0.34%"
"Dec 27, 2019","557.38","550.25","560.88","549.62","-","1.30%"
"Dec 26, 2019","550.25","541.38","551.88","540.12","-","1.71%"
"Dec 25, 2019","541.00","541.00","541.00","541.00","-","0.00%"
"Dec 24, 2019","541.00","540.00","544.88","538.62","-","0.19%"
"Dec 23, 2019","540.00","543.88","546.88","539.12","-","-0.48%"
"Dec 20, 2019","542.62","545.50","549.00","538.88","-","-0.55%"
"Dec 19, 2019","545.62","547.75","553.38","544.12","-","-0.39%"
"Dec 18, 2019","547.75","554.00","554.88","545.38","-","-1.13%"
"Dec 17, 2019","554.00","549.25","556.88","545.12","-","0.86%"
"Dec 16, 2019","549.25","535.50","556.62","535.50","-","3.51%"
"Dec 15, 2019","530.62","531.00","531.00","530.12","-","-0.45%"
"Dec 13, 2019","533.00","533.38","536.38","525.62","-","0.52%"
"Dec 12, 2019","530.25","518.50","534.12","516.38","-","2.27%"
"Dec 11, 2019","518.50","523.00","523.62","516.62","-","-0.88%"
"Dec 10, 2019","523.12","523.00","527.88","519.62","-","0.02%"
"Dec 09, 2019","523.00","523.62","526.12","520.38","-","-0.26%"
"Dec 08, 2019","524.38","524.62","524.62","524.38","-","-0.07%"
"Dec 06, 2019","524.75","523.75","526.75","519.12","-","0.19%"
"Dec 05, 2019","523.75","527.38","529.88","522.88","-","-0.76%"
"Dec 04, 2019","527.75","525.50","529.62","522.38","-","0.45%"
"Dec 03, 2019","525.38","537.75","541.12","524.38","-","-2.30%"
"Dec 02, 2019","537.75","542.62","543.62","534.38","-","-0.85%"
"Dec 01, 2019","542.38","542.38","542.38","542.38","-","0.05%"
"Nov 29, 2019","542.12","529.50","545.88","528.62","-","3.04%"
"Nov 28, 2019","526.12","526.25","526.25","526.12","-","0.00%"
"Nov 27, 2019","526.12","530.75","533.00","526.00","-","-0.87%"
"Nov 26, 2019","530.75","532.00","532.12","525.88","-","-0.23%"
"Nov 25, 2019","532.00","519.12","534.62","519.12","-","2.80%"
"Nov 24, 2019","517.50","517.50","517.50","517.50","-","0.66%"
"Nov 22, 2019","514.12","508.25","518.50","508.25","-","1.15%"
"Nov 21, 2019","508.25","514.25","519.38","508.25","-","-1.26%"
"Nov 20, 2019","514.75","511.50","515.62","508.12","-","0.64%"
"Nov 19, 2019","511.50","507.25","515.12","506.00","-","0.84%"
"Nov 18, 2019","507.25","503.12","510.62","498.62","-","0.92%"
"Nov 15, 2019","502.62","507.50","508.62","501.62","-","-0.96%"
"Nov 14, 2019","507.50","508.38","512.00","505.38","-","-0.25%"
"Nov 13, 2019","508.75","516.50","516.62","506.62","-","-1.50%"
"Nov 12, 2019","516.50","506.50","517.12","505.12","-","1.97%"
"Nov 11, 2019","506.50","508.38","510.62","503.88","-","-0.69%"
"Nov 08, 2019","510.00","512.50","517.88","505.62","-","-0.49%"
"Nov 07, 2019","512.50","517.00","519.62","511.12","-","-0.87%"
"Nov 06, 2019","517.00","515.50","521.62","513.50","-","0.29%"
"Nov 05, 2019","515.50","510.25","516.00","509.38","-","1.03%"
"Nov 04, 2019","510.25","514.25","515.12","508.12","-","-0.78%"
"Nov 03, 2019","514.25","514.25","514.25","514.25","-","-0.10%"
"Nov 01, 2019","514.75","508.50","516.38","506.62","-","1.18%"
"Oct 31, 2019","508.75","510.00","512.12","501.62","-","-0.20%"
"Oct 30, 2019","509.75","511.38","514.00","507.25","-","-0.34%"
"Oct 29, 2019","511.50","512.75","515.88","508.38","-","-0.24%"
"Oct 28, 2019","512.75","518.12","518.12","510.12","-","-0.70%"
"Oct 25, 2019","516.38","517.38","521.88","514.62","-","-0.12%"
"Oct 24, 2019","517.00","521.62","523.62","515.62","-","-0.86%"
"Oct 23, 2019","521.50","518.75","523.88","516.12","-","0.77%"
"Oct 22, 2019","517.50","523.62","532.12","517.50","-","-1.29%"
"Oct 21, 2019","524.25","530.38","534.88","522.88","-","-1.22%"
"Oct 18, 2019","530.75","525.62","532.38","521.12","-","1.10%"
"Oct 17, 2019","525.00","513.75","526.88","513.12","-","2.09%"
"Oct 16, 2019","514.25","506.12","514.25","504.62","-","1.38%"
"Oct 15, 2019","507.25","508.88","511.12","504.38","-","-0.73%"
"Oct 14, 2019","511.00","512.62","514.88","506.88","-","0.64%"
"Oct 13, 2019","507.75","507.75","507.75","507.75","-","-0.37%"
"Oct 11, 2019","509.62","491.62","512.62","491.38","-","3.74%"
"Oct 10, 2019","491.25","499.75","504.12","488.12","-","-2.00%"
"Oct 09, 2019","501.25","499.75","504.38","497.12","-","0.15%"
"Oct 08, 2019","500.50","489.75","502.38","486.88","-","2.19%"
"Oct 07, 2019","489.75","491.50","494.25","488.62","-","-0.03%"
"Oct 06, 2019","489.88","489.88","489.88","489.88","-","-0.20%"
"Oct 04, 2019","490.88","488.38","492.00","486.50","-","0.44%"
"Oct 03, 2019","488.75","488.00","492.88","485.88","-","0.10%"
"Oct 02, 2019","488.25","496.88","499.00","485.38","-","-1.81%"
"Oct 01, 2019","497.25","496.25","499.12","489.88","-","0.35%"
"Sep 30, 2019","495.50","488.88","500.88","483.12","-","1.80%"
"Sep 27, 2019","486.75","486.38","490.38","482.62","-","0.21%"
"Sep 26, 2019","485.75","477.12","486.62","476.88","-","1.67%"
"Sep 25, 2019","477.75","481.25","482.12","476.38","-","-0.68%"
"Sep 24, 2019","481.00","481.38","484.12","477.62","-","-0.10%"
"Sep 23, 2019","481.50","484.50","487.38","481.12","-","-0.62%"
"Sep 20, 2019","484.50","487.12","491.25","483.62","-","-0.51%"
"Sep 19, 2019","487.00","488.50","491.88","484.62","-","-0.51%"
"Sep 18, 2019","489.50","484.38","492.38","481.88","-","0.93%"
"Sep 17, 2019","485.00","487.50","487.50","480.62","-","-0.72%"
"Sep 16, 2019","488.50","488.62","489.88","482.25","-","1.22%"
"Sep 15, 2019","482.62","482.62","482.62","482.62","-","0.00%"
"Sep 13, 2019","482.62","485.38","490.88","480.62","-","-0.29%"
"Sep 12, 2019","484.00","479.12","485.88","472.88","-","1.57%"
"Sep 11, 2019","476.50","481.88","482.12","475.00","-","-1.29%"
"Sep 10, 2019","482.75","476.38","483.12","473.88","-","1.69%"
"Sep 09, 2019","474.75","462.38","475.88","460.62","-","2.70%"
"Sep 08, 2019","462.25","462.50","462.50","462.25","-","-0.08%"
"Sep 06, 2019","462.62","465.88","466.62","460.38","-","-0.94%"
"Sep 05, 2019","467.00","461.25","469.62","460.38","-","1.41%"
"Sep 04, 2019","460.50","454.75","464.88","454.75","-","1.38%"
"Sep 03, 2019","454.25","461.88","462.88","450.62","-","-1.55%"
"Aug 30, 2019","461.38","472.50","472.50","459.38","-","-2.41%"
"Aug 29, 2019","472.75","474.88","477.12","471.88","-","-0.63%"
"Aug 28, 2019","475.75","477.00","478.00","468.88","-","-0.42%"
"Aug 27, 2019","477.75","474.50","479.50","472.75","-","0.63%"
"Aug 26, 2019","474.75","477.38","477.62","473.88","-","-0.08%"
"Aug 23, 2019","475.12","466.75","475.62","461.62","-","1.74%"
"Aug 22, 2019","467.00","462.62","470.38","460.88","-","0.92%"
"Aug 21, 2019","462.75","460.25","463.00","456.25","-","0.87%"
"Aug 20, 2019","458.75","465.50","468.88","457.00","-","-1.24%"
"Aug 19, 2019","464.50","469.38","470.38","464.12","-","-1.25%"
"Aug 16, 2019","470.38","470.00","473.00","467.38","-","0.13%"
"Aug 15, 2019","469.75","476.38","476.88","468.62","-","-1.05%"
"Aug 14, 2019","474.75","474.88","480.12","471.38","-","0.42%"
"Aug 13, 2019","472.75","471.25","478.62","465.62","-","0.05%"
"Aug 12, 2019","472.50","501.00","501.88","466.75","-","-5.52%"
"Aug 09, 2019","500.12","498.25","505.38","496.00","-","0.38%"
"Aug 08, 2019","498.25","489.12","502.62","486.12","-","1.74%"
"Aug 07, 2019","489.75","484.50","489.75","477.62","-","1.08%"
"Aug 06, 2019","484.50","492.62","495.75","482.88","-","-1.92%"
"Aug 05, 2019","494.00","489.75","494.88","479.38","-","0.64%"
"Aug 02, 2019","490.88","477.62","491.12","476.25","-","2.43%"
"Aug 01, 2019","479.25","487.00","488.50","472.12","-","-1.49%"
"Jul 31, 2019","486.50","496.25","500.62","484.62","-","-2.01%"
"Jul 30, 2019","496.50","502.38","503.12","495.12","-","-1.19%"
"Jul 29, 2019","502.50","493.62","507.00","493.12","-","1.33%"
"Jul 26, 2019","495.88","500.12","500.12","493.62","-","-0.87%"
"Jul 25, 2019","500.25","497.62","506.50","492.38","-","0.65%"
"Jul 24, 2019","497.00","487.38","498.12","487.38","-","2.05%"
"Jul 23, 2019","487.00","488.88","493.38","483.38","-","-0.15%"
"Jul 22, 2019","487.75","503.88","504.25","487.12","-","-3.05%"
"Jul 19, 2019","503.12","494.50","516.62","492.62","-","1.90%"
"Jul 18, 2019","493.75","504.50","505.25","493.12","-","-2.28%"
"Jul 17, 2019","505.25","507.12","513.88","502.12","-","-0.44%"
"Jul 16, 2019","507.50","505.38","509.88","501.12","-","-0.29%"
"Jul 15, 2019","509.00","524.88","531.38","506.12","-","-2.75%"
"Jul 12, 2019","523.38","521.38","525.12","516.75","-","0.51%"
"Jul 11, 2019","520.75","505.50","522.88","500.38","-","3.22%"
"Jul 10, 2019","504.50","501.12","506.62","498.12","-","0.45%"
"Jul 09, 2019","502.25","511.00","511.00","498.88","-","-1.76%"
"Jul 08, 2019","511.25","518.38","518.75","507.38","-","-1.09%"
"Jul 05, 2019","516.88","513.12","517.00","505.38","-","0.58%"
"Jul 03, 2019","513.88","503.00","514.38","501.00","-","2.16%"
"Jul 02, 2019","503.00","512.50","515.62","501.38","-","-1.57%"
"Jul 01, 2019","511.00","530.62","530.62","508.62","-","-2.85%"
"Jun 28, 2019","526.00","543.75","554.12","522.62","-","-3.71%"
"Jun 27, 2019","546.25","546.12","557.12","541.88","-","0.00%"
"Jun 26, 2019","546.25","538.88","547.88","536.38","-","1.20%"
"Jun 25, 2019","539.75","544.62","549.38","538.38","-","-0.55%"
"Jun 24, 2019","542.75","530.25","544.12","526.88","-","3.18%"
"Jun 21, 2019","526.00","527.12","529.50","523.12","-","-0.19%"
"Jun 20, 2019","527.00","520.12","528.88","515.50","-","1.05%"
"Jun 19, 2019","521.50","530.25","531.12","514.25","-","-1.79%"
"Jun 18, 2019","531.00","540.25","541.00","525.12","-","-1.48%"
"Jun 17, 2019","539.00","540.38","549.12","537.62","-","0.23%"
