Date,Open,High,Low,Close
2015-05-14,123.85,123.85,123.85,123.85
2015-05-15,123.5178618,123.5178618,123.5178618,123.5178618
2015-05-16,123.1863152,123.1863152,123.1863152,123.1863152
2015-05-17,123.1523276,123.1523276,123.1523276,123.1523276
2015-05-18,123.0797743,123.0797743,123.0797743,123.0797743
2015-05-19,123.1667616,123.1667616,123.1667616,123.1667616
2015-05-20,123.3603522,123.3603522,123.3603522,123.3603522
2015-05-21,123.4758601,123.4758601,123.4758601,123.4758601
2015-05-22,122.9559761,122.9559761,122.9559761,122.9559761
2015-05-23,122.4382814,122.4382814,122.4382814,122.4382814
2015-05-24,122.4654657,122.4654657,122.4654657,122.4654657
2015-05-25,122.2440756,122.2440756,122.2440756,122.2440756
2015-05-26,122.2934902,122.2934902,122.2934902,122.2934902
2015-05-27,122.3511628,122.3511628,122.3511628,122.3511628
2015-05-28,122.3762803,122.3762803,122.3762803,122.3762803
2015-05-29,122.6866005,122.6866005,122.6866005,122.6866005
2015-05-30,122.9211855,122.9211855,122.9211855,122.9211855
2015-05-31,123.1867912,123.1867912,123.1867912,123.1867912
2015-06-01,123.3859018,123.3859018,123.3859018,123.3859018
2015-06-02,123.6342417,123.6342417,123.6342417,123.6342417
2015-06-03,123.7443064,123.7443064,123.7443064,123.7443064
2015-06-04,123.5329082,123.5329082,123.5329082,123.5329082
2015-06-05,123.3344734,123.3344734,123.3344734,123.3344734
2015-06-06,123.26966,123.26966,123.26966,123.26966
2015-06-07,123.0717912,123.0717912,123.0717912,123.0717912
2015-06-08,123.1349836,123.1349836,123.1349836,123.1349836
2015-06-09,123.2897752,123.2897752,123.2897752,123.2897752
2015-06-10,123.6021516,123.6021516,123.6021516,123.6021516
2015-06-11,123.8031428,123.8031428,123.8031428,123.8031428
2015-06-12,123.9096897,123.9096897,123.9096897,123.9096897
2015-06-13,124.1610979,124.1610979,124.1610979,124.1610979
2015-06-14,124.504812,124.504812,124.504812,124.504812
2015-06-15,124.4118941,124.4118941,124.4118941,124.4118941
2015-06-16,124.0333279,124.0333279,124.0333279,124.0333279
2015-06-17,123.8328147,123.8328147,123.8328147,123.8328147
2015-06-18,123.8691572,123.8691572,123.8691572,123.8691572
2015-06-19,123.7424936,123.7424936,123.7424936,123.7424936
2015-06-20,123.6159684,123.6159684,123.6159684,123.6159684
2015-06-21,123.4174018,123.4174018,123.4174018,123.4174018
2015-06-22,123.3815781,123.3815781,123.3815781,123.3815781
2015-06-23,123.3506197,123.3506197,123.3506197,123.3506197
2015-06-24,123.3868206,123.3868206,123.3868206,123.3868206
2015-06-25,123.6252629,123.6252629,123.6252629,123.6252629
2015-06-26,123.6543783,123.6543783,123.6543783,123.6543783
2015-06-27,123.8332082,123.8332082,123.8332082,123.8332082
2015-06-28,123.9989879,123.9989879,123.9989879,123.9989879
2015-06-29,124.1785014,124.1785014,124.1785014,124.1785014
2015-06-30,124.3465539,124.3465539,124.3465539,124.3465539
2015-07-01,124.4310605,124.4310605,124.4310605,124.4310605
2015-07-02,124.3524729,124.3524729,124.3524729,124.3524729
2015-07-03,124.2254434,124.2254434,124.2254434,124.2254434
2015-07-04,124.1470882,124.1470882,124.1470882,124.1470882
2015-07-05,124.1140921,124.1140921,124.1140921,124.1140921
2015-07-06,124.0810441,124.0810441,124.0810441,124.0810441
2015-07-07,124.0478715,124.0478715,124.0478715,124.0478715
2015-07-08,124.031737,124.031737,124.031737,124.031737
2015-07-09,123.907527,123.907527,123.907527,123.907527
2015-07-10,123.6639952,123.6639952,123.6639952,123.6639952
2015-07-11,123.7442963,123.7442963,123.7442963,123.7442963
2015-07-12,123.8155302,123.8155302,123.8155302,123.8155302
2015-07-13,123.9700227,123.9700227,123.9700227,123.9700227
2015-07-14,124.1247133,124.1247133,124.1247133,124.1247133
2015-07-15,123.7473412,123.7473412,123.7473412,123.7473412
2015-07-16,123.5656707,123.5656707,123.5656707,123.5656707
2015-07-17,123.6019155,123.6019155,123.6019155,123.6019155
2015-07-18,123.6382066,123.6382066,123.6382066,123.6382066
2015-07-19,123.5117792,123.5117792,123.5117792,123.5117792
2015-07-20,123.5355643,123.5355643,123.5355643,123.5355643
