date,precip_VAN,precip_TOR,precip_MON,precip_LEO,precip_GUA,precip_MEX,precip_PUE,precip_HUS,precip_DAL,precip_TUL,precip_JUA,precip_PHO,precip_SDO,temp_VAN,temp_TOR,temp_MON,temp_LEO,temp_GUA,temp_MEX,temp_PEU,temp_HUS,temp_DAL,temp_TUL,temp_JUA,temp_PHO,temp_SDO,UD_ind_WTI,UD_ind_lumber,UD_ind_live_cattle,UD_ind_OJ,UD_ind_us_cotton,UD_ind_us_soybean_oil,UD_ind_us_wheat,UD_ind_copper
2019-11-05,-0.4779263750408086,-0.40254350995333854,0.6203362359532572,3.2095990282115285,-0.25866448500424855,-0.3463464674718994,0.9425048401272766,-0.2316374165599942,-0.16424376875723068,-0.3350408313681458,-0.19955958097116622,-0.14869112974102194,-0.17501118037484378,-0.6866746510580969,-0.3278650658717171,-0.1885033044578526,0.8852749902559736,0.30689279522233975,0.5930389086195452,-0.24359151076173058,-0.14025104654393367,-0.32274104251815616,-0.509702255309321,-0.404163891202093,-0.3082940543408984,-0.5733470222309237,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
2019-06-25,-0.4779263750408086,-0.35270212908754517,1.6718519328736494,-0.12953017173414597,-0.25866448500424855,0.6720001732468307,1.6480357387213398,2.1852173249030793,-0.2923767213764675,-0.3350408313681458,-0.19955958097116622,-0.14869112974102194,-0.17501118037484378,0.8338192191419741,1.1503789430310887,1.0184486215562532,-0.9617855062129442,0.8345132824169993,0.262727531608643,0.51650422189293,0.32836388413127243,0.7210567629388364,0.7544528104316106,0.9999504325602462,0.9261510598837706,-0.0816983034222175,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
2018-06-28,-0.4779263750408086,-0.40254350995333854,-0.41734372811291953,-0.12953017173414597,-0.25866448500424855,-0.3463464674718994,1.4716530140728241,-0.1016989895996139,-0.2923767213764675,-0.3350408313681458,-0.19955958097116622,-0.14869112974102194,-0.17501118037484378,1.0136625801333805,1.3671880643368335,0.9576668698864781,-0.9617855062129442,-2.6089046340113047,0.3099148711816291,0.03280693747632814,0.9330283108089575,1.3589331996069984,1.5212353912908645,1.534259423018481,1.3497351677059608,0.3484943255353996,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2019-01-20,-0.4779263750408086,0.02941512421687119,0.9385580916002179,-0.12953017173414597,-0.25866448500424855,-0.3463464674718994,-0.3627273222717399,-0.2316374165599942,-0.2923767213764675,-0.3350408313681458,-0.19955958097116622,-0.14869112974102194,-0.17501118037484378,-1.0300119765871454,-2.7521852404723184,-2.3592801498069633,-0.9617855062129442,-0.4151141872545626,-0.4136243356041563,-1.0497536514560677,-2.5740253639216157,-2.2595658593105754,-2.209058245321721,-1.7088718911582488,-1.312793510033521,-0.6655311570075563,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2018-05-24,-0.4779263750408086,-0.40254350995333854,-0.4450151938213509,-0.12953017173414597,-0.25866448500424855,-0.3463464674718994,-0.3627273222717399,-0.2316374165599942,-0.2923767213764675,-0.3350408313681458,-0.19955958097116622,-0.14869112974102194,-0.17501118037484378,0.9155662014107951,1.0419743823782166,0.7753216148771526,-0.9617855062129442,0.7095505354498428,0.7975173801024847,0.746836262091312,0.4946466014676355,0.7790455299086693,0.733728956894874,0.7265830420932418,0.50256695206158,-0.4504348425287466,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
2017-10-11,-0.12157242151557678,-0.25301936735595826,-0.4450151938213509,-0.058985188636702136,-0.17819002835133887,-0.3463464674718994,-0.3627273222717399,-0.2316374165599942,-0.2923767213764675,-0.3350408313681458,-0.19955958097116622,-0.14869112974102194,-0.17501118037484378,-0.14714456808387819,0.10575317673977261,0.15882099079800516,0.7212836377657427,0.2652385462332876,-0.03612561902026816,0.055840141496165854,0.14696455612796705,-0.49670734342765493,-0.6029595962246357,-0.5159960054840494,0.2605188904488998,0.37922237046094415,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
2019-08-20,-0.4779263750408086,-0.40254350995333854,-0.4450151938213509,-0.12953017173414597,-0.25866448500424855,-0.3463464674718994,-0.18634459762322417,-0.2316374165599942,-0.2923767213764675,-0.3350408313681458,-0.19955958097116622,-0.14869112974102194,-0.17501118037484378,1.2425541304860792,1.199653743327849,1.2702587356167498,-0.9617855062129442,0.6817810361238082,0.42001866351859635,0.1019065495358421,0.978378142809784,1.4401174733647648,1.5834069519010743,1.4224273087365251,1.3497351677059608,0.9630552240462817,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2019-11-13,-0.44553056108396927,-0.20317798649016483,-0.4450151938213509,-0.12953017173414597,-0.04943089770668337,-0.3463464674718994,-0.3627273222717399,-0.2316374165599942,-0.2923767213764675,-0.3350408313681458,-0.19955958097116622,-0.14869112974102194,-0.17501118037484378,-0.5068312900666907,-1.540025153172018,-1.5864835928626801,0.5227677900144103,-0.3595751886024934,0.4357477767095919,-0.3587575308609216,-2.8007745239257473,-2.2363703525226426,-1.815305028123726,-1.8331297959159778,-0.6592637436792844,-0.23533852804993804,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2017-08-14,-0.4779263750408086,-0.40254350995333854,-0.4450151938213509,-0.12953017173414597,0.2724669289049553,-0.3463464674718994,0.5368245734356903,-0.2316374165599942,2.536404617217453,-0.3350408313681458,9.427674538410844,-0.14869112974102194,-0.17501118037484378,0.9646143907720879,-0.9881473898483037,1.174744554421389,-0.9617855062129442,0.39020129320044405,-2.5213255031975312,0.30920538571438644,1.2958269668155684,0.8718275570604019,0.7026431765897692,0.875692527802517,0.9624582691256722,0.6865028197163853,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2017-01-27,-0.4779263750408086,-0.35270212908754517,-0.15446480388282144,-0.12953017173414597,-0.25866448500424855,-0.3463464674718994,-0.3627273222717399,-0.2316374165599942,-0.2923767213764675,-0.3350408313681458,-0.19955958097116622,-0.14869112974102194,-0.17501118037484378,-0.8665180120495033,-0.8994527493141353,-0.8571025728253788,0.7471770092115686,-0.20684294230930228,0.40428955032760133,-0.42785714292043636,-1.984477547910873,-1.691275943006213,-1.5458949321461504,-2.069219814955663,-1.9542208733071234,-1.802468819252688,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
