Date,Open,High,Low,Close
2015-05-14,123.85,123.85,123.85,123.85
2015-05-15,123.6421974,123.6421974,123.6421974,123.6421974
2015-05-16,123.4352305,123.4352305,123.4352305,123.4352305
2015-05-17,123.5294292,123.5294292,123.5294292,123.5294292
2015-05-18,123.4214032,123.4214032,123.4214032,123.4214032
2015-05-19,123.3076565,123.3076565,123.3076565,123.3076565
2015-05-20,123.0650922,123.0650922,123.0650922,123.0650922
2015-05-21,122.5696132,122.5696132,122.5696132,122.5696132
2015-05-22,122.0761293,122.0761293,122.0761293,122.0761293
2015-05-23,121.9760723,121.9760723,121.9760723,121.9760723
2015-05-24,121.7531364,121.7531364,121.7531364,121.7531364
2015-05-25,121.7914768,121.7914768,121.7914768,121.7914768
2015-05-26,121.8376429,121.8376429,121.8376429,121.8376429
2015-05-27,121.7242613,121.7242613,121.7242613,121.7242613
2015-05-28,121.8974649,121.8974649,121.8974649,121.8974649
2015-05-29,121.9912184,121.9912184,121.9912184,121.9912184
2015-05-30,122.1059759,122.1059759,122.1059759,122.1059759
2015-05-31,122.1075175,122.1075175,122.1075175,122.1075175
2015-06-01,121.9849741,121.9849741,121.9849741,121.9849741
2015-06-02,121.8611397,121.8611397,121.8611397,121.8611397
2015-06-03,121.5656032,121.5656032,121.5656032,121.5656032
2015-06-04,121.2494181,121.2494181,121.2494181,121.2494181
2015-06-05,121.0574427,121.0574427,121.0574427,121.0574427
2015-06-06,120.7427179,120.7427179,120.7427179,120.7427179
2015-06-07,120.7378859,120.7378859,120.7378859,120.7378859
2015-06-08,120.932507,120.932507,120.932507,120.932507
2015-06-09,121.1049947,121.1049947,121.1049947,121.1049947
2015-06-10,121.2588877,121.2588877,121.2588877,121.2588877
2015-06-11,121.1946497,121.1946497,121.1946497,121.1946497
2015-06-12,121.2332526,121.2332526,121.2332526,121.2332526
2015-06-13,121.4022529,121.4022529,121.4022529,121.4022529
2015-06-14,121.2403414,121.2403414,121.2403414,121.2403414
2015-06-15,120.8544942,120.8544942,120.8544942,120.8544942
2015-06-16,120.5392583,120.5392583,120.5392583,120.5392583
2015-06-17,120.4344325,120.4344325,120.4344325,120.4344325
2015-06-18,120.171988,120.171988,120.171988,120.171988
2015-06-19,119.910124,119.910124,119.910124,119.910124
2015-06-20,119.5982423,119.5982423,119.5982423,119.5982423
2015-06-21,119.4437879,119.4437879,119.4437879,119.4437879
2015-06-22,119.4021458,119.4021458,119.4021458,119.4021458
2015-06-23,119.2983089,119.2983089,119.2983089,119.2983089
2015-06-24,119.3532186,119.3532186,119.3532186,119.3532186
2015-06-25,119.3340346,119.3340346,119.3340346,119.3340346
2015-06-26,119.4568893,119.4568893,119.4568893,119.4568893
2015-06-27,119.3605372,119.3605372,119.3605372,119.3605372
2015-06-28,119.2480512,119.2480512,119.2480512,119.2480512
2015-06-29,119.2021595,119.2021595,119.2021595,119.2021595
2015-06-30,118.978803,118.978803,118.978803,118.978803
2015-07-01,118.8619781,118.8619781,118.8619781,118.8619781
2015-07-02,118.6033337,118.6033337,118.6033337,118.6033337
2015-07-03,118.4871786,118.4871786,118.4871786,118.4871786
2015-07-04,118.1657143,118.1657143,118.1657143,118.1657143
2015-07-05,117.8450512,117.8450512,117.8450512,117.8450512
2015-07-06,117.5258996,117.5258996,117.5258996,117.5258996
2015-07-07,117.3678111,117.3678111,117.3678111,117.3678111
2015-07-08,117.1146876,117.1146876,117.1146876,117.1146876
2015-07-09,116.8046407,116.8046407,116.8046407,116.8046407
2015-07-10,116.8303778,116.8303778,116.8303778,116.8303778
2015-07-11,116.8349922,116.8349922,116.8349922,116.8349922
2015-07-12,116.8375935,116.8375935,116.8375935,116.8375935
2015-07-13,116.8401918,116.8401918,116.8401918,116.8401918
2015-07-14,116.4686299,116.4686299,116.4686299,116.4686299
2015-07-15,116.1890577,116.1890577,116.1890577,116.1890577
2015-07-16,116.088006,116.088006,116.088006,116.088006
2015-07-17,115.987008,115.987008,115.987008,115.987008
2015-07-18,115.7342551,115.7342551,115.7342551,115.7342551
2015-07-19,115.6194699,115.6194699,115.6194699,115.6194699
2015-07-20,115.3212449,115.3212449,115.3212449,115.3212449
2015-07-21,115.3104786,115.3104786,115.3104786,115.3104786
2015-07-22,115.4511161,115.4511161,115.4511161,115.4511161
2015-07-23,115.4725417,115.4725417,115.4725417,115.4725417
2015-07-24,115.6132589,115.6132589,115.6132589,115.6132589
2015-07-25,115.5427395,115.5427395,115.5427395,115.5427395
2015-07-26,115.2493001,115.2493001,115.2493001,115.2493001
2015-07-27,115.0298564,115.0298564,115.0298564,115.0298564
2015-07-28,114.8069372,114.8069372,114.8069372,114.8069372
2015-07-29,114.597406,114.597406,114.597406,114.597406
2015-07-30,114.4302641,114.4302641,114.4302641,114.4302641
2015-07-31,114.1274804,114.1274804,114.1274804,114.1274804
2015-08-01,114.0359757,114.0359757,114.0359757,114.0359757
2015-08-02,114.077701,114.077701,114.077701,114.077701
2015-08-03,114.2145689,114.2145689,114.2145689,114.2145689
2015-08-04,114.1075259,114.1075259,114.1075259,114.1075259
2015-08-05,113.893786,113.893786,113.893786,113.893786
2015-08-06,113.7346473,113.7346473,113.7346473,113.7346473
2015-08-07,113.5614794,113.5614794,113.5614794,113.5614794
2015-08-08,113.3425643,113.3425643,113.3425643,113.3425643
2015-08-09,113.2431651,113.2431651,113.2431651,113.2431651
2015-08-10,113.0314134,113.0314134,113.0314134,113.0314134
2015-08-11,112.8197066,112.8197066,112.8197066,112.8197066
2015-08-12,112.608395,112.608395,112.608395,112.608395
2015-08-13,112.3974792,112.3974792,112.3974792,112.3974792
2015-08-14,112.1899912,112.1899912,112.1899912,112.1899912
2015-08-15,112.2360714,112.2360714,112.2360714,112.2360714
2015-08-16,112.2610131,112.2610131,112.2610131,112.2610131
2015-08-17,112.2989633,112.2989633,112.2989633,112.2989633
2015-08-18,112.4360519,112.4360519,112.4360519,112.4360519
2015-08-19,112.4847538,112.4847538,112.4847538,112.4847538
2015-08-20,112.3824913,112.3824913,112.3824913,112.3824913
2015-08-21,112.2847586,112.2847586,112.2847586,112.2847586
2015-08-22,112.2050259,112.2050259,112.2050259,112.2050259
2015-08-23,112.2058258,112.2058258,112.2058258,112.2058258
2015-08-24,112.1778036,112.1778036,112.1778036,112.1778036
2015-08-25,112.0956497,112.0956497,112.0956497,112.0956497
2015-08-26,111.9856661,111.9856661,111.9856661,111.9856661
2015-08-27,111.9165329,111.9165329,111.9165329,111.9165329
2015-08-28,111.8067149,111.8067149,111.8067149,111.8067149
2015-08-29,111.7085575,111.7085575,111.7085575,111.7085575
2015-08-30,111.5161181,111.5161181,111.5161181,111.5161181
2015-08-31,111.51858,111.51858,111.51858,111.51858
2015-09-01,111.5418642,111.5418642,111.5418642,111.5418642
2015-09-02,111.5799008,111.5799008,111.5799008,111.5799008
2015-09-03,111.5057204,111.5057204,111.5057204,111.5057204
2015-09-04,111.4306408,111.4306408,111.4306408,111.4306408
2015-09-05,111.3337363,111.3337363,111.3337363,111.3337363
2015-09-06,111.236916,111.236916,111.236916,111.236916
2015-09-07,111.1401799,111.1401799,111.1401799,111.1401799
2015-09-08,111.0317488,111.0317488,111.0317488,111.0317488
2015-09-09,110.8237861,110.8237861,110.8237861,110.8237861
2015-09-10,110.6162129,110.6162129,110.6162129,110.6162129
2015-09-11,110.5076719,110.5076719,110.5076719,110.5076719
2015-09-12,110.3992374,110.3992374,110.3992374,110.3992374
2015-09-13,110.2919843,110.2919843,110.2919843,110.2919843
2015-09-14,110.3160901,110.3160901,110.3160901,110.3160901
2015-09-15,110.3402012,110.3402012,110.3402012,110.3402012
2015-09-16,110.3684208,110.3684208,110.3684208,110.3684208
2015-09-17,110.5030744,110.5030744,110.5030744,110.5030744
2015-09-18,110.5331085,110.5331085,110.5331085,110.5331085
2015-09-19,110.5630428,110.5630428,110.5630428,110.5630428
2015-09-20,110.592984,110.592984,110.592984,110.592984
2015-09-21,110.3913169,110.3913169,110.3913169,110.3913169
2015-09-22,110.2829451,110.2829451,110.2829451,110.2829451
2015-09-23,110.1695798,110.1695798,110.1695798,110.1695798
2015-09-24,110.0615004,110.0615004,110.0615004,110.0615004
2015-09-25,109.8958858,109.8958858,109.8958858,109.8958858
2015-09-26,109.7934728,109.7934728,109.7934728,109.7934728
2015-09-27,109.5978758,109.5978758,109.5978758,109.5978758
2015-09-28,109.3504321,109.3504321,109.3504321,109.3504321
2015-09-29,108.8265208,108.8265208,108.8265208,108.8265208
2015-09-30,108.6777979,108.6777979,108.6777979,108.6777979
2015-10-01,108.5269248,108.5269248,108.5269248,108.5269248
2015-10-02,108.3293282,108.3293282,108.3293282,108.3293282
2015-10-03,108.2292147,108.2292147,108.2292147,108.2292147
2015-10-04,108.1770747,108.1770747,108.1770747,108.1770747
2015-10-05,108.2056991,108.2056991,108.2056991,108.2056991
2015-10-06,108.2293924,108.2293924,108.2293924,108.2293924
2015-10-07,108.1234075,108.1234075,108.1234075,108.1234075
2015-10-08,107.9209075,107.9209075,107.9209075,107.9209075
2015-10-09,107.7188272,107.7188272,107.7188272,107.7188272
2015-10-10,107.5901382,107.5901382,107.5901382,107.5901382
2015-10-11,107.4449253,107.4449253,107.4449253,107.4449253
2015-10-12,107.2371866,107.2371866,107.2371866,107.2371866
2015-10-13,107.131866,107.131866,107.131866,107.131866
2015-10-14,106.9314736,106.9314736,106.9314736,106.9314736
2015-10-15,106.8283485,106.8283485,106.8283485,106.8283485
2015-10-16,106.6415318,106.6415318,106.6415318,106.6415318
2015-10-17,106.4550381,106.4550381,106.4550381,106.4550381
2015-10-18,106.2702995,106.2702995,106.2702995,106.2702995
2015-10-19,106.0710078,106.0710078,106.0710078,106.0710078
2015-10-20,105.8288608,105.8288608,105.8288608,105.8288608
2015-10-21,105.4254419,105.4254419,105.4254419,105.4254419
2015-10-22,105.0097048,105.0097048,105.0097048,105.0097048
2015-10-23,104.7646949,104.7646949,104.7646949,104.7646949
2015-10-24,104.4520784,104.4520784,104.4520784,104.4520784
2015-10-25,104.1618589,104.1618589,104.1618589,104.1618589
2015-10-26,103.9915226,103.9915226,103.9915226,103.9915226
2015-10-27,103.6127825,103.6127825,103.6127825,103.6127825
