Date,Open,High,Low,Close
2016-05-16,145.6,145.6,145.6,145.6
2016-05-17,145.2021916,145.2021916,145.2021916,145.2021916
2016-05-18,144.8398467,144.8398467,144.8398467,144.8398467
2016-05-19,144.479969,144.479969,144.479969,144.479969
2016-05-20,144.278462,144.278462,144.278462,144.278462
2016-05-21,144.0772359,144.0772359,144.0772359,144.0772359
2016-05-22,143.8403941,143.8403941,143.8403941,143.8403941
2016-05-23,143.5959334,143.5959334,143.5959334,143.5959334
2016-05-24,143.3300517,143.3300517,143.3300517,143.3300517
2016-05-25,143.2249709,143.2249709,143.2249709,143.2249709
2016-05-26,143.1284185,143.1284185,143.1284185,143.1284185
2016-05-27,143.1866634,143.1866634,143.1866634,143.1866634
2016-05-28,143.0017881,143.0017881,143.0017881,143.0017881
2016-05-29,142.8635651,142.8635651,142.8635651,142.8635651
2016-05-30,142.7263145,142.7263145,142.7263145,142.7263145
2016-05-31,142.6730504,142.6730504,142.6730504,142.6730504
2016-06-01,142.464641,142.464641,142.464641,142.464641
2016-06-02,142.4118899,142.4118899,142.4118899,142.4118899
2016-06-03,142.1727326,142.1727326,142.1727326,142.1727326
2016-06-04,141.8489142,141.8489142,141.8489142,141.8489142
2016-06-05,141.5399445,141.5399445,141.5399445,141.5399445
2016-06-06,141.1525505,141.1525505,141.1525505,141.1525505
2016-06-07,141.0980184,141.0980184,141.0980184,141.0980184
2016-06-08,141.2352576,141.2352576,141.2352576,141.2352576
2016-06-09,141.2411188,141.2411188,141.2411188,141.2411188
2016-06-10,141.0932298,141.0932298,141.0932298,141.0932298
2016-06-11,140.8136871,140.8136871,140.8136871,140.8136871
2016-06-12,140.3890495,140.3890495,140.3890495,140.3890495
2016-06-13,140.0942861,140.0942861,140.0942861,140.0942861
2016-06-14,139.9068003,139.9068003,139.9068003,139.9068003
2016-06-15,139.7394314,139.7394314,139.7394314,139.7394314
2016-06-16,139.5655063,139.5655063,139.5655063,139.5655063
2016-06-17,139.5319394,139.5319394,139.5319394,139.5319394
2016-06-18,139.3447406,139.3447406,139.3447406,139.3447406
2016-06-19,139.3238872,139.3238872,139.3238872,139.3238872
2016-06-20,139.3042742,139.3042742,139.3042742,139.3042742
2016-06-21,139.4275857,139.4275857,139.4275857,139.4275857
2016-06-22,139.5510099,139.5510099,139.5510099,139.5510099
2016-06-23,139.6744813,139.6744813,139.6744813,139.6744813
2016-06-24,139.6240388,139.6240388,139.6240388,139.6240388
2016-06-25,139.572989,139.572989,139.572989,139.572989
2016-06-26,139.4091882,139.4091882,139.4091882,139.4091882
2016-06-27,139.2453173,139.2453173,139.2453173,139.2453173
2016-06-28,139.1432635,139.1432635,139.1432635,139.1432635
2016-06-29,139.1446489,139.1446489,139.1446489,139.1446489
2016-06-30,139.2678195,139.2678195,139.2678195,139.2678195
2016-07-01,139.391099,139.391099,139.391099,139.391099
2016-07-02,139.5144819,139.5144819,139.5144819,139.5144819
2016-07-03,139.6260119,139.6260119,139.6260119,139.6260119
2016-07-04,139.6402139,139.6402139,139.6402139,139.6402139
2016-07-05,139.4722942,139.4722942,139.4722942,139.4722942
2016-07-06,139.323073,139.323073,139.323073,139.323073
2016-07-07,139.1592865,139.1592865,139.1592865,139.1592865
2016-07-08,138.9956926,138.9956926,138.9956926,138.9956926
2016-07-09,138.832291,138.832291,138.832291,138.832291
2016-07-10,138.6690815,138.6690815,138.6690815,138.6690815
2016-07-11,138.5060638,138.5060638,138.5060638,138.5060638
2016-07-12,138.4554228,138.4554228,138.4554228,138.4554228
2016-07-13,138.4047969,138.4047969,138.4047969,138.4047969
2016-07-14,138.2439991,138.2439991,138.2439991,138.2439991
2016-07-15,138.1935761,138.1935761,138.1935761,138.1935761
2016-07-16,138.1430499,138.1430499,138.1430499,138.1430499
2016-07-17,138.0925421,138.0925421,138.0925421,138.0925421
2016-07-18,138.0420761,138.0420761,138.0420761,138.0420761
2016-07-19,137.9916043,137.9916043,137.9916043,137.9916043
2016-07-20,137.922813,137.922813,137.922813,137.922813
2016-07-21,137.7610632,137.7610632,137.7610632,137.7610632
2016-07-22,137.710695,137.710695,137.710695,137.710695
2016-07-23,137.6603451,137.6603451,137.6603451,137.6603451
2016-07-24,137.6100138,137.6100138,137.6100138,137.6100138
2016-07-25,137.5083438,137.5083438,137.5083438,137.5083438
2016-07-26,137.458068,137.458068,137.458068,137.458068
2016-07-27,137.4078106,137.4078106,137.4078106,137.4078106
2016-07-28,137.2463216,137.2463216,137.2463216,137.2463216
2016-07-29,137.0850246,137.0850246,137.0850246,137.0850246
2016-07-30,137.0273719,137.0273719,137.0273719,137.0273719
2016-07-31,136.9083062,136.9083062,136.9083062,136.9083062
2016-08-01,136.8581546,136.8581546,136.8581546,136.8581546
2016-08-02,136.8065164,136.8065164,136.8065164,136.8065164
2016-08-03,136.7564963,136.7564963,136.7564963,136.7564963
2016-08-04,136.7064954,136.7064954,136.7064954,136.7064954
2016-08-05,136.6565129,136.6565129,136.6565129,136.6565129
2016-08-06,136.6065486,136.6065486,136.6065486,136.6065486
2016-08-07,136.5566026,136.5566026,136.5566026,136.5566026
2016-08-08,136.5066749,136.5066749,136.5066749,136.5066749
2016-08-09,136.4567654,136.4567654,136.4567654,136.4567654
2016-08-10,136.4068741,136.4068741,136.4068741,136.4068741
2016-08-11,136.3802138,136.3802138,136.3802138,136.3802138
2016-08-12,136.330345,136.330345,136.330345,136.330345
2016-08-13,136.4506214,136.4506214,136.4506214,136.4506214
2016-08-14,136.4007324,136.4007324,136.4007324,136.4007324
2016-08-15,136.3508741,136.3508741,136.3508741,136.3508741
2016-08-16,136.1986342,136.1986342,136.1986342,136.1986342
2016-08-17,136.0385208,136.0385208,136.0385208,136.0385208
2016-08-18,135.9134059,135.9134059,135.9134059,135.9134059
2016-08-19,135.8200527,135.8200527,135.8200527,135.8200527
2016-08-20,135.6604481,135.6604481,135.6604481,135.6604481
2016-08-21,135.6094365,135.6094365,135.6094365,135.6094365
2016-08-22,135.4500191,135.4500191,135.4500191,135.4500191
2016-08-23,135.400496,135.400496,135.400496,135.400496
2016-08-24,135.3495178,135.3495178,135.3495178,135.3495178
2016-08-25,135.3000313,135.3000313,135.3000313,135.3000313
2016-08-26,135.250563,135.250563,135.250563,135.250563
2016-08-27,135.1270617,135.1270617,135.1270617,135.1270617
2016-08-28,135.0750376,135.0750376,135.0750376,135.0750376
2016-08-29,135.1206394,135.1206394,135.1206394,135.1206394
2016-08-30,135.1986418,135.1986418,135.1986418,135.1986418
2016-08-31,135.3474922,135.3474922,135.3474922,135.3474922
2016-09-01,135.4214587,135.4214587,135.4214587,135.4214587
2016-09-02,135.4106617,135.4106617,135.4106617,135.4106617
2016-09-03,135.4701681,135.4701681,135.4701681,135.4701681
2016-09-04,135.5039206,135.5039206,135.5039206,135.5039206
2016-09-05,135.3563663,135.3563663,135.3563663,135.3563663
2016-09-06,135.197243,135.197243,135.197243,135.197243
2016-09-07,135.0383068,135.0383068,135.0383068,135.0383068
2016-09-08,134.8795585,134.8795585,134.8795585,134.8795585
2016-09-09,134.7209958,134.7209958,134.7209958,134.7209958
2016-09-10,134.5984205,134.5984205,134.5984205,134.5984205
2016-09-11,134.4593649,134.4593649,134.4593649,134.4593649
2016-09-12,134.3331628,134.3331628,134.3331628,134.3331628
2016-09-13,134.1752426,134.1752426,134.1752426,134.1752426
2016-09-14,134.0175079,134.0175079,134.0175079,134.0175079
2016-09-15,133.8599585,133.8599585,133.8599585,133.8599585
2016-09-16,133.7117386,133.7117386,133.7117386,133.7117386
2016-09-17,133.5545571,133.5545571,133.5545571,133.5545571
2016-09-18,133.397552,133.397552,133.397552,133.397552
2016-09-19,133.350042,133.350042,133.350042,133.350042
2016-09-20,133.2317819,133.2317819,133.2317819,133.2317819
2016-09-21,133.3333665,133.3333665,133.3333665,133.3333665
2016-09-22,133.2090471,133.2090471,133.2090471,133.2090471
2016-09-23,133.0840186,133.0840186,133.0840186,133.0840186
2016-09-24,132.9528656,132.9528656,132.9528656,132.9528656
2016-09-25,132.7973313,132.7973313,132.7973313,132.7973313
2016-09-26,132.6726893,132.6726893,132.6726893,132.6726893
2016-09-27,132.5416246,132.5416246,132.5416246,132.5416246
2016-09-28,132.4168837,132.4168837,132.4168837,132.4168837
2016-09-29,132.1830918,132.1830918,132.1830918,132.1830918
2016-09-30,131.9546405,131.9546405,131.9546405,131.9546405
2016-10-01,131.8894984,131.8894984,131.8894984,131.8894984
2016-10-02,131.7597138,131.7597138,131.7597138,131.7597138
2016-10-03,131.6360455,131.6360455,131.6360455,131.6360455
2016-10-04,131.485734,131.485734,131.485734,131.485734
2016-10-05,131.3354265,131.3354265,131.3354265,131.3354265
2016-10-06,131.1905069,131.1905069,131.1905069,131.1905069
2016-10-07,131.1169942,131.1169942,131.1169942,131.1169942
2016-10-08,130.8334864,130.8334864,130.8334864,130.8334864
2016-10-09,130.7432915,130.7432915,130.7432915,130.7432915
2016-10-10,130.6531825,130.6531825,130.6531825,130.6531825
2016-10-11,130.3997293,130.3997293,130.3997293,130.3997293
2016-10-12,130.1721158,130.1721158,130.1721158,130.1721158
2016-10-13,129.9450567,129.9450567,129.9450567,129.9450567
2016-10-14,129.7184518,129.7184518,129.7184518,129.7184518
2016-10-15,129.5894953,129.5894953,129.5894953,129.5894953
2016-10-16,129.3380933,129.3380933,129.3380933,129.3380933
2016-10-17,129.086924,129.086924,129.086924,129.086924
2016-10-18,128.6347855,128.6347855,128.6347855,128.6347855
2016-10-19,128.3815757,128.3815757,128.3815757,128.3815757
2016-10-20,128.128811,128.128811,128.128811,128.128811
2016-10-21,127.9636181,127.9636181,127.9636181,127.9636181
2016-10-22,127.8519134,127.8519134,127.8519134,127.8519134
2016-10-23,127.8937791,127.8937791,127.8937791,127.8937791
2016-10-24,127.9097743,127.9097743,127.9097743,127.9097743
2016-10-25,127.5677516,127.5677516,127.5677516,127.5677516
2016-10-26,127.2395504,127.2395504,127.2395504,127.2395504
2016-10-27,127.0495647,127.0495647,127.0495647,127.0495647
2016-10-28,127.0188542,127.0188542,127.0188542,127.0188542
2016-10-29,126.9120851,126.9120851,126.9120851,126.9120851
2016-10-30,126.6720787,126.6720787,126.6720787,126.6720787
2016-10-31,126.2790042,126.2790042,126.2790042,126.2790042
2016-11-01,125.8760977,125.8760977,125.8760977,125.8760977
2016-11-02,125.638344,125.638344,125.638344,125.638344
2016-11-03,125.2434542,125.2434542,125.2434542,125.2434542
2016-11-04,124.9504206,124.9504206,124.9504206,124.9504206
2016-11-05,124.5571982,124.5571982,124.5571982,124.5571982
2016-11-06,124.2660565,124.2660565,124.2660565,124.2660565
2016-11-07,123.9756041,123.9756041,123.9756041,123.9756041
2016-11-08,123.9884003,123.9884003,123.9884003,123.9884003
2016-11-09,123.9469142,123.9469142,123.9469142,123.9469142
2016-11-10,123.8335388,123.8335388,123.8335388,123.8335388
2016-11-11,123.8047833,123.8047833,123.8047833,123.8047833
2016-11-12,123.7788888,123.7788888,123.7788888,123.7788888
2016-11-13,123.6851494,123.6851494,123.6851494,123.6851494
2016-11-14,123.5901513,123.5901513,123.5901513,123.5901513
2016-11-15,123.4967737,123.4967737,123.4967737,123.4967737
2016-11-16,123.4161171,123.4161171,123.4161171,123.4161171
2016-11-17,123.4104366,123.4104366,123.4104366,123.4104366
2016-11-18,123.4639746,123.4639746,123.4639746,123.4639746
2016-11-19,123.3997482,123.3997482,123.3997482,123.3997482
2016-11-20,123.5498589,123.5498589,123.5498589,123.5498589
2016-11-21,123.7976668,123.7976668,123.7976668,123.7976668
2016-11-22,123.9466183,123.9466183,123.9466183,123.9466183
2016-11-23,124.0507792,124.0507792,124.0507792,124.0507792
2016-11-24,124.2568075,124.2568075,124.2568075,124.2568075
2016-11-25,124.4646173,124.4646173,124.4646173,124.4646173
2016-11-26,124.6990154,124.6990154,124.6990154,124.6990154
2016-11-27,124.8570571,124.8570571,124.8570571,124.8570571
2016-11-28,125.0178399,125.0178399,125.0178399,125.0178399
2016-11-29,125.472352,125.472352,125.472352,125.472352
2016-11-30,125.7336698,125.7336698,125.7336698,125.7336698
2016-12-01,126.1652889,126.1652889,126.1652889,126.1652889
2016-12-02,126.6436398,126.6436398,126.6436398,126.6436398
2016-12-03,127.0362263,127.0362263,127.0362263,127.0362263
2016-12-04,127.2351789,127.2351789,127.2351789,127.2351789
2016-12-05,127.6250643,127.6250643,127.6250643,127.6250643
2016-12-06,127.974581,127.974581,127.974581,127.974581
2016-12-07,128.1442234,128.1442234,128.1442234,128.1442234
2016-12-08,128.5063878,128.5063878,128.5063878,128.5063878
2016-12-09,128.7370414,128.7370414,128.7370414,128.7370414
2016-12-10,128.9757587,128.9757587,128.9757587,128.9757587
2016-12-11,129.2236607,129.2236607,129.2236607,129.2236607
2016-12-12,129.4720382,129.4720382,129.4720382,129.4720382
2016-12-13,129.7208944,129.7208944,129.7208944,129.7208944
2016-12-14,129.9469509,129.9469509,129.9469509,129.9469509
2016-12-15,130.0688785,130.0688785,130.0688785,130.0688785
2016-12-16,130.2962843,130.2962843,130.2962843,130.2962843
2016-12-17,130.5241199,130.5241199,130.5241199,130.5241199
2016-12-18,130.7597672,130.7597672,130.7597672,130.7597672
2016-12-19,131.0098453,131.0098453,131.0098453,131.0098453
2016-12-20,131.2944696,131.2944696,131.2944696,131.2944696
2016-12-21,131.5244662,131.5244662,131.5244662,131.5244662
2016-12-22,131.7543996,131.7543996,131.7543996,131.7543996
2016-12-23,131.9847322,131.9847322,131.9847322,131.9847322
2016-12-24,132.2154672,132.2154672,132.2154672,132.2154672
2016-12-25,132.3798917,132.3798917,132.3798917,132.3798917
2016-12-26,132.5040941,132.5040941,132.5040941,132.5040941
2016-12-27,132.628413,132.628413,132.628413,132.628413
2016-12-28,132.7534246,132.7534246,132.7534246,132.7534246
2016-12-29,132.9913582,132.9913582,132.9913582,132.9913582
2016-12-30,133.0735285,133.0735285,133.0735285,133.0735285
2016-12-31,133.1875857,133.1875857,133.1875857,133.1875857
2017-01-01,133.4364935,133.4364935,133.4364935,133.4364935
2017-01-02,133.6270079,133.6270079,133.6270079,133.6270079
2017-01-03,133.7523069,133.7523069,133.7523069,133.7523069
2017-01-04,133.877797,133.877797,133.877797,133.877797
2017-01-05,134.0034048,134.0034048,134.0034048,134.0034048
2017-01-06,134.1291304,134.1291304,134.1291304,134.1291304
2017-01-07,134.2550298,134.2550298,134.2550298,134.2550298
2017-01-08,134.3703325,134.3703325,134.3703325,134.3703325
2017-01-09,134.5647075,134.5647075,134.5647075,134.5647075
2017-01-10,134.7547597,134.7547597,134.7547597,134.7547597
2017-01-11,134.9827717,134.9827717,134.9827717,134.9827717
2017-01-12,135.2187479,135.2187479,135.2187479,135.2187479
2017-01-13,135.4130806,135.4130806,135.4130806,135.4130806
2017-01-14,135.6498091,135.6498091,135.6498091,135.6498091
2017-01-15,135.8432079,135.8432079,135.8432079,135.8432079
2017-01-16,136.0371188,136.0371188,136.0371188,136.0371188
2017-01-17,136.225746,136.225746,136.225746,136.225746
2017-01-18,136.3573871,136.3573871,136.3573871,136.3573871
2017-01-19,136.5583893,136.5583893,136.5583893,136.5583893
2017-01-20,136.7967201,136.7967201,136.7967201,136.7967201
2017-01-21,136.9250708,136.9250708,136.9250708,136.9250708
2017-01-22,137.0535376,137.0535376,137.0535376,137.0535376
2017-01-23,137.182125,137.182125,137.182125,137.182125
