Date,Open,High,Low,Close
2016-05-16,145.6,145.6,145.6,145.6
2016-05-17,145.1685638,145.1685638,145.1685638,145.1685638
2016-05-18,144.7309857,144.7309857,144.7309857,144.7309857
2016-05-19,144.3888982,144.3888982,144.3888982,144.3888982
2016-05-20,143.9959572,143.9959572,143.9959572,143.9959572
2016-05-21,143.7887837,143.7887837,143.7887837,143.7887837
2016-05-22,143.5819072,143.5819072,143.5819072,143.5819072
2016-05-23,143.2902359,143.2902359,143.2902359,143.2902359
2016-05-24,142.9892164,142.9892164,142.9892164,142.9892164
2016-05-25,142.67408,142.67408,142.67408,142.67408
2016-05-26,142.5568022,142.5568022,142.5568022,142.5568022
2016-05-27,142.5482973,142.5482973,142.5482973,142.5482973
2016-05-28,142.6415359,142.6415359,142.6415359,142.6415359
2016-05-29,142.4413296,142.4413296,142.4413296,142.4413296
2016-05-30,142.258768,142.258768,142.258768,142.258768
2016-05-31,142.077446,142.077446,142.077446,142.077446
2016-06-01,142.0753516,142.0753516,142.0753516,142.0753516
2016-06-02,141.8076188,141.8076188,141.8076188,141.8076188
2016-06-03,141.8058337,141.8058337,141.8058337,141.8058337
2016-06-04,141.6484617,141.6484617,141.6484617,141.6484617
2016-06-05,141.2891543,141.2891543,141.2891543,141.2891543
2016-06-06,140.9699219,140.9699219,140.9699219,140.9699219
2016-06-07,140.5444628,140.5444628,140.5444628,140.5444628
2016-06-08,140.5923832,140.5923832,140.5923832,140.5923832
2016-06-09,140.8126785,140.8126785,140.8126785,140.8126785
2016-06-10,140.8399195,140.8399195,140.8399195,140.8399195
2016-06-11,140.6772871,140.6772871,140.6772871,140.6772871
2016-06-12,140.3953491,140.3953491,140.3953491,140.3953491
2016-06-13,140.0468323,140.0468323,140.0468323,140.0468323
2016-06-14,139.9359472,139.9359472,139.9359472,139.9359472
2016-06-15,139.8697553,139.8697553,139.8697553,139.8697553
2016-06-16,139.8270881,139.8270881,139.8270881,139.8270881
2016-06-17,139.703494,139.703494,139.703494,139.703494
2016-06-18,139.8247462,139.8247462,139.8247462,139.8247462
2016-06-19,139.7662794,139.7662794,139.7662794,139.7662794
2016-06-20,139.9048463,139.9048463,139.9048463,139.9048463
2016-06-21,139.9900579,139.9900579,139.9900579,139.9900579
2016-06-22,140.1959661,140.1959661,140.1959661,140.1959661
2016-06-23,140.4021798,140.4021798,140.4021798,140.4021798
2016-06-24,140.6086231,140.6086231,140.6086231,140.6086231
2016-06-25,140.6075841,140.6075841,140.6075841,140.6075841
2016-06-26,140.6063357,140.6063357,140.6063357,140.6063357
2016-06-27,140.5144757,140.5144757,140.5144757,140.5144757
2016-06-28,140.4224651,140.4224651,140.4224651,140.4224651
2016-06-29,140.3753882,140.3753882,140.3753882,140.3753882
2016-06-30,140.480329,140.480329,140.480329,140.480329
2016-07-01,140.6869585,140.6869585,140.6869585,140.6869585
