,Commodity,score
0,UD_ind_WTI_0.25,0.36788399570354463
1,UD_ind_lumber_0.25,0.28728461081402257
2,UD_ind_live_cattle_0.25,0.30575941927441314
3,UD_ind_OJ_0.25,0.3401199374548099
4,UD_ind_us_cotton_0.25,0.34242892499870425
5,UD_ind_us_soybean_oil_0.25,0.3248211322342888
6,UD_ind_us_wheat_0.25,0.3171704362320198
7,UD_ind_copper_0.25,0.3248211322342888
8,UD_ind_WTI,0.48441151325163867
9,UD_ind_lumber,0.5072077528770442
10,UD_ind_live_cattle,0.4983843537414966
11,UD_ind_OJ,0.5331143951833607
12,UD_ind_us_cotton,0.5283422459893048
13,UD_ind_us_soybean_oil,0.4845710666023166
14,UD_ind_us_wheat,0.4883720930232558
15,UD_ind_copper,0.5271625261897636
