,Commodity,score
0,UD_ind_WTI_0.25,0.29170147591200224
1,UD_ind_lumber_0.25,0.28788939818351583
2,UD_ind_live_cattle_0.25,0.35139564894460146
3,UD_ind_OJ_0.25,0.3606882977578378
4,UD_ind_us_cotton_0.25,0.3417032732078993
5,UD_ind_us_soybean_oil_0.25,0.3576862528867899
6,UD_ind_us_wheat_0.25,0.3180089713814054
7,UD_ind_copper_0.25,0.3576862528867899
8,UD_ind_WTI,0.5588486748361357
9,UD_ind_lumber,0.5029981829194428
10,UD_ind_live_cattle,0.4917942176870748
11,UD_ind_OJ,0.5127257799671593
12,UD_ind_us_cotton,0.47241532976827094
13,UD_ind_us_soybean_oil,0.4665631032818533
14,UD_ind_us_wheat,0.5077519379844961
15,UD_ind_copper,0.5188865609099071
