,date,datatype,station,attributes,value
0,2015-01-02T00:00:00,PRCP,GHCND:MXM00076680,",,S,",0.0
1,2015-01-02T00:00:00,TAVG,GHCND:MXM00076680,"H,,S,",13.9
2,2015-01-02T00:00:00,TMAX,GHCND:MXM00076680,",,S,",22.5
3,2015-01-02T00:00:00,TMIN,GHCND:MXM00076680,",,S,",8.1
4,2015-01-05T00:00:00,PRCP,GHCND:MXM00076680,",,S,",0.0
5,2015-01-05T00:00:00,TAVG,GHCND:MXM00076680,"H,,S,",8.9
6,2015-01-05T00:00:00,TMAX,GHCND:MXM00076680,",,S,",20.0
7,2015-01-05T00:00:00,TMIN,GHCND:MXM00076680,",,S,",6.5
8,2015-01-06T00:00:00,PRCP,GHCND:MXM00076680,",,S,",0.0
9,2015-01-06T00:00:00,TAVG,GHCND:MXM00076680,"H,,S,",8.4
10,2015-01-06T00:00:00,TMAX,GHCND:MXM00076680,",,S,",13.4
11,2015-01-06T00:00:00,TMIN,GHCND:MXM00076680,",,S,",6.0
12,2015-01-08T00:00:00,PRCP,GHCND:MXM00076680,",,S,",0.0
13,2015-01-08T00:00:00,TAVG,GHCND:MXM00076680,"H,,S,",11.2
14,2015-01-08T00:00:00,TMAX,GHCND:MXM00076680,",,S,",20.5
15,2015-01-08T00:00:00,TMIN,GHCND:MXM00076680,",,S,",8.0
16,2015-01-09T00:00:00,PRCP,GHCND:MXM00076680,",,S,",0.0
17,2015-01-09T00:00:00,TAVG,GHCND:MXM00076680,"H,,S,",11.8
18,2015-01-10T00:00:00,PRCP,GHCND:MXM00076680,",,S,",0.0
19,2015-01-10T00:00:00,TAVG,GHCND:MXM00076680,"H,,S,",11.6
20,2015-01-10T00:00:00,TMAX,GHCND:MXM00076680,",,S,",19.9
21,2015-01-10T00:00:00,TMIN,GHCND:MXM00076680,",,S,",7.0
22,2015-01-11T00:00:00,PRCP,GHCND:MXM00076680,",,S,",0.0
23,2015-01-11T00:00:00,TAVG,GHCND:MXM00076680,"H,,S,",12.5
