Time,Open,High,Low,Last,Change,Volume,"Open Int"
09/10/2010,147.5,148.35,147.5,147.65,-2.45,17,0
09/09/2010,143.35,150.1,143.35,150.1,7.55,13,206
09/08/2010,142,143,142,142.55,0.5,24,207
09/07/2010,142.55,143,142.05,142.05,3,8,216
09/03/2010,142.35,142.75,138.1,139.05,-3.35,196,224
09/02/2010,143,143,141,142.4,0.40000000000001,17,508
09/01/2010,137,143,137,142,4.4,499,581
08/31/2010,137.4,137.8,135.85,137.6,0,930,1014
08/30/2010,134.3,137.85,133.8,137.6,3.1,710,1886
08/27/2010,134.4,135.95,133.75,134.5,0.40000000000001,450,3012
08/26/2010,136.4,137.25,132.95,134.1,-2.25,1129,3399
08/25/2010,136.85,137.25,135.5,136.35,-0.20000000000002,962,4356
08/24/2010,133.5,139.65,133,136.55,2.8,1571,5291
08/23/2010,134.4,135.45,132.9,133.75,-1.05,826,6639
08/20/2010,134.95,135.5,134,134.8,0.5,1158,7036
08/19/2010,135.55,136.7,134,134.3,-1.25,1410,8882
08/18/2010,136.8,137.75,135.2,135.55,-1.3,1296,9551
08/17/2010,136,137.75,133.4,136.85,2.35,1877,10285
08/16/2010,138.45,138.7,132.95,134.5,-3.45,2230,11148
08/13/2010,139,139,136.5,137.95,-0.55000000000001,1234,11666
08/12/2010,138.05,139.2,136,138.5,0.44999999999999,3437,12338
08/11/2010,138.6,140.35,135.65,138.05,-0.89999999999998,3103,14687
08/10/2010,143.8,143.8,138.65,138.95,-5.3,2286,16416
08/09/2010,143.35,145.25,143.05,144.25,0.25,1349,17370
08/06/2010,145.65,146.05,143.45,144,-1.95,1217,17871
08/05/2010,144.55,146.15,144.5,145.95,1.15,675,18468
08/04/2010,147.85,148.3,144,144.8,-3.4,1596,18607
08/03/2010,148.65,149.5,147.4,148.2,-0.10000000000002,1244,18547
08/02/2010,146.9,148.7,145.95,148.3,1.7,1331,18204
07/30/2010,146.2,147.05,144.2,146.6,0.40000000000001,1224,18625
07/29/2010,145.05,147.45,144.75,146.2,0.69999999999999,968,19045
07/28/2010,146.7,146.9,144.75,145.5,-1.2,1013,19438
07/27/2010,146.85,147.7,145.55,146.7,0.89999999999998,1524,19544
07/26/2010,145.35,146.8,143.1,145.8,0.15000000000001,1297,19077
07/23/2010,144.05,145.75,144.05,145.65,1.6,928,18967
07/22/2010,143,144.45,141,144.05,0.65000000000001,872,18823
07/21/2010,142.3,143.45,141.9,143.4,1.55,748,18762
07/20/2010,142,142.45,141.1,141.85,0.59999999999999,358,18724
07/19/2010,140.15,143.5,138.9,141.25,1.1,1211,18930
07/16/2010,137.5,140.9,135.45,140.15,2.05,1414,18831
07/15/2010,138.85,139.95,136.3,138.1,-0.75,1381,19056
07/14/2010,142.2,142.85,137.8,138.85,-2.8,1553,19187
07/13/2010,138,142.2,138,141.65,2.55,1189,19273
07/12/2010,137.55,139.55,136.25,139.1,1.55,1141,19531
07/09/2010,137.6,140.05,136.55,137.55,-0.049999999999983,1345,19925
07/08/2010,145.15,145.15,136.85,137.6,-7.9,4404,20578
07/07/2010,146.7,146.9,144.65,145.5,-1.1,773,22154
07/06/2010,151,151.15,144,146.6,-4.5,1330,22225
07/02/2010,148.15,151.6,148.1,151.1,2.45,1320,22284
07/01/2010,148.65,151.6,147.5,148.65,0.30000000000001,1603,22268
06/30/2010,141.9,149.8,141.9,148.35,5.45,2608,21909
06/29/2010,142.25,144.3,140.9,142.9,-0.049999999999983,990,21114
06/28/2010,143.35,143.45,141.15,142.95,0.5,726,21102
06/25/2010,141.4,143.55,140.5,142.45,0.5,1099,20846
06/24/2010,142.35,142.35,139.75,141.95,-0.40000000000001,1487,20497
06/23/2010,142.1,143.95,141.45,142.35,0.25,1338,20627
06/22/2010,141.8,145,141.65,142.1,-0.30000000000001,1765,20249
06/21/2010,145.25,145.4,141.6,142.4,-1.85,1439,19236
06/18/2010,144.1,146.5,143.7,144.25,0.15000000000001,1580,18648
06/17/2010,144.15,145.9,144,144.1,-0.5,2268,17665
06/16/2010,144.2,145.05,143.4,144.6,0.19999999999999,940,16085
06/15/2010,145.4,145.4,143.7,144.4,-1.05,1431,15321
06/14/2010,144.2,146.95,144.2,145.45,2,1341,14549
06/11/2010,142.4,145,142.4,143.45,1.3,1141,13921
06/10/2010,139.3,142.95,139,142.15,2.25,614,13309
06/09/2010,140.4,140.4,139.7,139.9,-0.29999999999998,1015,12945
06/08/2010,138.35,141.65,137.9,140.2,1.85,1627,12012
06/07/2010,138,139.25,135.25,138.35,0.5,480,10897
06/04/2010,140.5,140.5,137.5,137.85,-3,588,10672
06/03/2010,140.75,142,140.1,140.85,-0.15000000000001,316,10278
06/02/2010,140.3,142,140.3,141,0.69999999999999,564,10081
06/01/2010,143.8,143.8,138,140.3,-3.7,770,9404
05/28/2010,142,144.95,142,144,1.8,674,8628
05/27/2010,140.95,142.95,140.4,142.2,1.45,209,7955
05/26/2010,139.15,141,138.6,140.75,1.35,732,7851
05/25/2010,142.75,142.75,138,139.4,-5.45,629,7362
05/24/2010,145.5,145.9,142.25,144.85,-1.9,179,7415
